"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"44","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33897","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"45","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33898","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"46","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33899","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"47","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33900","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"48","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33901","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","05-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"49","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33902","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","05-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"50","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33903","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"51","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33904","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"52","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33905","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"53","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/33906","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","03-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
