"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"47","Normal/Others","NA-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP NEAR PEER BABA TV TOWER MOHHALAH MAJRIAN WARD NO 8 PANCHAYAT MIDHLU DHARGLOON","11-Jan-2026","300000","NA"
"48","Repair and Renovation","WS/MP839/2025-2026/258707-Construction of water tanks","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","PANCHAYAT ATTI WARD NO 1 OF BLOCK RAJAOURI THROUGH SH QAMAR RUBANI OTHERS FOR CONSTRUCTION REPAIRING OF WATER TANK","11-Jan-2026","130000","04-Feb-2026"
"49","Bar and Associations","NA-Purchase Books for Library","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Purchase of Law books","20-Mar-2026","50000","NA"
"50","Normal/Others","WS/MP839/2025-2026/258708-Installing hand pumps","Jammu And Kashmir","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP AT VILLAGE MOHRA MOHALLA ANARKALI BLOCK KOTERNAKA","11-Jan-2026","300000","05-Feb-2026"
"51","Normal/Others","WS/MP839/2025-2026/222782-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of protection wall of MR hasin Mohd R O Khara Mandana panchayat Lower khara mandana block pumandal District  Samba","27-Jul-2025","200000","03-Sep-2025"
"52","Normal/Others","WS/MP839/2025-2026/222783-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of retaining wall and tile work at panchayat mean sarkar block bari brahmna District Samba","27-Jul-2025","300000","03-Sep-2025"
"53","Normal/Others","WS/MP839/2024-2025/152776-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","contstruction of pulli over meen sarkar sarore adda samba","15-Nov-2024","459000","20-Nov-2024"
"54","Normal/Others","WS/MP839/2025-2026/252209-Installing hand pumps","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Installation of hand pump at Mohalla late Saifudin,ward-6 panchayat Raya Vijaypura Samba availiabity nearly surrounded proposed site","04-Dec-2025","350000","19-Jan-2026"
"55","Normal/Others","NA-Installing tube-wells and borewells","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Installation of bore well at village Channi kartholi near Sarore Adda Tavi Canal near the house of Allah Rakha","09-Nov-2023","3.89","NA"
"56","Normal/Others","WS/MP839/2023-2024/53097-Installing tube-wells and borewells","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Instalation of borewell","25-Nov-2023","221123","12-Dec-2023"
"57","Bar and Associations","NA-Purchase Books for Library","Jammu And Kashmir","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Purchase of law books","20-Mar-2026","50000","NA"
"58","Normal/Others","WS/MP839/2024-2025/170349-Construction of community centers and community halls","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Completion of community hall at district Kathua-6 lacs","29-Jan-2025","450000","22-Mar-2025"
"59","Normal/Others","WS/MP839/2025-2026/191391-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","contrcution of graveyard shed at dungiyan panchayat lower sunjwan block satwari","15-Apr-2025","541000","30-Apr-2025"
"60","Normal/Others","WS/MP839/2023-2024/13023-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Upgradtion of main dome of fiber sheets(uv protected sheets)","25-Aug-2023","1906475","30-Oct-2023"
"61","Normal/Others","WS/MP839/2024-2025/158703-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","remaining work of community hall at purana pind..please ignore serial no 2","14-Dec-2024","389394","22-Feb-2025"
