"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"89","Normal/Others","WS/MP18226/2024-2025/168965-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Gaunsia Masjid intersection in village Parsadaha.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"90","Normal/Others","WS/MP18226/2024-2025/169058-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sandiline Patel Kisan Seva Kendra petrol pump intersection in Gram Panchayat Saidapur Devkali.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"91","Normal/Others","WS/MP18226/2024-2025/168966-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Jamuniya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166050"
"92","Normal/Others","WS/MP18226/2024-2025/168970-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Khanipur Gurudwara intersection in village Khanipur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"93","Normal/Others","WS/MP18226/2024-2025/168979-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Raghav Ji Mandir intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","N/A","20-Jan-2026","166033"
"94","Normal/Others","WS/MP18226/2024-2025/168980-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Noori Barkati Masjid intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"95","Normal/Others","WS/MP18226/2024-2025/168981-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Radhakrishna Temple intersection in village Nakaha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"96","Normal/Others","WS/MP18226/2024-2025/168982-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection by Thakur in village Katkusama.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"97","Normal/Others","WS/MP18226/2024-2025/168983-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Durga Devi Temple intersection in village Jagsad.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"98","Normal/Others","WS/MP18226/2024-2025/168984-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sati Mata Mandir intersection in village Sakethu.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"99","Normal/Others","WS/MP18226/2024-2025/168987-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Chahamalpur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"100","Normal/Others","WS/MP18226/2024-2025/168989-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mahakaleshwar Temple intersection in village Badhaidih (Parsia).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"101","Normal/Others","WS/MP18226/2024-2025/168990-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Madrasa wali Masjid intersection in village Emamipurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"102","Normal/Others","WS/MP18226/2024-2025/168991-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Madina Masjid intersection in village Jhampurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"103","Normal/Others","WS/MP18226/2024-2025/168994-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Bhiraghasi.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"104","Normal/Others","WS/MP18226/2024-2025/168995-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Bhiraghasi.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"105","Normal/Others","WS/MP18226/2024-2025/168996-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sumer Giri Baba Mandir intersection in village Belwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"106","Normal/Others","WS/MP18226/2024-2025/168997-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jind Baba intersection in village Bhagha.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"107","Normal/Others","WS/MP18226/2024-2025/168998-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the old Jama Masjid intersection in village Ghosiana (Banjaria).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"108","Normal/Others","WS/MP18226/2024-2025/168999-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Saidapur (Siraincha).","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"109","Normal/Others","WS/MP18226/2024-2025/169000-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Dev Sthan intersection in village Trikauliyapurwa.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"110","Normal/Others","WS/MP18226/2024-2025/169001-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mahola.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"111","Normal/Others","WS/MP18226/2024-2025/169002-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Ji Mandir intersection in village Devaria.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"112","Normal/Others","WS/MP18226/2024-2025/169003-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the Masjid intersection in village Deoria.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"113","Normal/Others","WS/MP18226/2024-2025/169018-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mohaddipur.","UTKARSH VERMA MADHUR","KHERI","Images","20-Jan-2026","166033"
"114","Normal/Others","WS/MP18226/2024-2025/169019-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Sunda.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"115","Normal/Others","WS/MP18226/2024-2025/169020-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Shankar ji temple in village Padri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"116","Normal/Others","WS/MP18226/2024-2025/169021-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Chaupur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"117","Normal/Others","WS/MP18226/2024-2025/169022-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Chhatrapal house intersection in village Ashogapur","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"118","Normal/Others","WS/MP18226/2024-2025/169023-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sardar Gurudayal Singh house intersection in village Basaigapur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"119","Normal/Others","WS/MP18226/2024-2025/169027-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection near Shankar Baksh Singh in village Saidipur Harraiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"120","Normal/Others","WS/MP18226/2024-2025/169024-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Babbu Rastogi house intersection in village Amritaganj.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"121","Normal/Others","WS/MP18226/2024-2025/169025-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near the intersection of Narendra Kumar Verma Purv pradhan  house in village Chahamalpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"122","Normal/Others","WS/MP18226/2024-2025/169026-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the house intersection of Siyaram Bhargava Purv pradhan head in village Matehi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"123","Normal/Others","WS/MP18226/2024-2025/169073-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the market intersection in Gram Panchayat Baragaon.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"124","Normal/Others","WS/MP18226/2024-2025/169074-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Nag Baba Sthan Bazar intersection in Gram Panchayat Patrasi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"125","Normal/Others","WS/MP18226/2024-2025/169075-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Surendra Verma house intersection in village Muradnagar of Gram Panchayat Patrasi.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"126","Normal/Others","WS/MP18226/2024-2025/169077-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Chandrika Gaudhi Shiv Mandir intersection of Gram Panchayat Odara.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"127","Normal/Others","WS/MP18226/2024-2025/169357-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection at Pasian Purva in Gram Panchayat Dhakherwa Nankar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"128","Normal/Others","WS/MP18226/2024-2025/169356-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Subhanipurwa of Gram Panchayat Dhakherwa Nankar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"129","Normal/Others","WS/MP18226/2024-2025/169358-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mote Baba Mandir intersection in Gram Panchayat Majhra purab","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"130","Normal/Others","WS/MP18226/2024-2025/169359-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Gram Panchayat Teliar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"131","Normal/Others","WS/MP18226/2024-2025/169360-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Malagar Farm Gurudwara intersection in Gram Panchayat Khairtiya.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"132","Normal/Others","WS/MP18226/2024-2025/169361-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shankar ji temple intersection in Gram Panchayat Bairiya.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"133","Normal/Others","WS/MP18226/2024-2025/169362-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Bokariya of Gram Panchayat Teliar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"134","Normal/Others","WS/MP18226/2024-2025/169363-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Barkati Masjid intersection in Gram Panchayat Sujanpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"135","Normal/Others","WS/MP18226/2024-2025/169364-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in Gram Panchayat Chhedipurwa.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"136","Normal/Others","WS/MP18226/2024-2025/169367-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Maa Raj Rajeshwari Devi Temple intersection in Gram Panchayat Semri.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"137","Normal/Others","WS/MP18226/2024-2025/169368-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Noori Masjid intersection in Gram Panchayat Danduri.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"138","Normal/Others","WS/MP18226/2024-2025/169369-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection in Majra Bhagharpurva of Gram Panchayat Chandpura.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"139","Normal/Others","WS/MP18226/2024-2025/169370-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Gram Panchayat Kharwahiya No. 2.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"140","Normal/Others","WS/MP18226/2024-2025/169371-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Banaras Kashyap house intersection in Gram Panchayat Sinsaiya.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"141","Normal/Others","WS/MP18226/2024-2025/169372-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid  intersection in village Mahadev of Gram Panchayat Sohariya.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"142","Normal/Others","WS/MP18226/2024-2025/169373-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a high semi mast light 6 way near village Bangli Colony intersection of village Panchayat Tahara.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"143","Normal/Others","WS/MP18226/2024-2025/169374-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in Mallabehad village Panchayat Mallabehad.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"144","Normal/Others","WS/MP18226/2024-2025/169375-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Podkhiya Bala Ji Mandir intersection of Gram Panchayat Gauria.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"145","Normal/Others","WS/MP18226/2024-2025/169076-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Devi Mandir intersection in Gram Panchayat Hindolna village Gungepur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"146","Normal/Others","WS/MP18226/2024-2025/169078-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near the intersection of market temple in Gram Panchayat Korara.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"147","Normal/Others","WS/MP18226/2024-2025/169079-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the Shiva temple of Gram Panchayat Maujmabad","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"148","Normal/Others","WS/MP18226/2024-2025/169080-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Nakaha Pipri Gurudwara intersection of Gram Panchayat Chapartala.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"149","Normal/Others","WS/MP18226/2024-2025/169155-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way at the intersection of the Devi temple near Shri Shatruhan Lal in village panchayat Kolhauri","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"150","Normal/Others","WS/MP18226/2024-2025/169156-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Haji Masjid intersection in Gram Panchayat Padaria.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"151","Normal/Others","WS/MP18226/2024-2025/169157-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Jhala of Majra Liloti Ma. Trilok Singh ji of Gram Panchayat Pipra Marora.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"152","Normal/Others","WS/MP18226/2024-2025/169376-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Okeshar Nath temple intersection in village Ballipur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"153","Normal/Others","WS/MP18226/2024-2025/169838-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Gangabehad.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"154","Normal/Others","WS/MP18226/2024-2025/169159-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way at the intersection near Phool Singh house in Gram Panchayat Belhan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"155","Normal/Others","WS/MP18226/2024-2025/169158-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjit  intersection in Gram Panchayat Sunderwal.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"156","Normal/Others","WS/MP18226/2024-2025/169160-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way at the intersection near Ranveer Yadav house in Majra Chhoti Khabhi of Gram Panchayat Srinagar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"157","Normal/Others","WS/MP18226/2024-2025/169839-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Rani Farm Gurudwara intersection in village Ludhauri.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"158","Normal/Others","WS/MP18226/2024-2025/169161-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gram Tendua Masjid intersection of Gram Panchayat Tendua.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"159","Normal/Others","WS/MP18226/2024-2025/169840-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the Shiv Mandir intersection in village Chudatanda of G.P. Ludhauri.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"160","Normal/Others","WS/MP18226/2024-2025/169162-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Manglipurwa of Gram Panchayat Pipragum.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"161","Normal/Others","WS/MP18226/2024-2025/169220-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in village Ramanagara of Gram Panchayat Maksoha.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"162","Normal/Others","WS/MP18226/2024-2025/169841-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Dhakherwa Khalsa Masjid intersection.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"163","Normal/Others","WS/MP18226/2024-2025/169222-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Tihulia Gunrudwara intersection of Gram Panchayat Delelnagar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"164","Normal/Others","WS/MP18226/2024-2025/169851-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Bajranggarh Farm Gurudwara intersection of village Dhakherwa Khalsa.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"165","Normal/Others","WS/MP18226/2024-2025/169224-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Atkohana Salarpur Gurudwara intersection of Gram Panchayat Sisaura.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"166","Normal/Others","WS/MP18226/2024-2025/169225-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection of Ranjitpurwa of Gram Panchayat Baraula.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"167","Normal/Others","WS/MP18226/2024-2025/169852-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Nagar panchayt Nighasan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"168","Normal/Others","WS/MP18226/2024-2025/169226-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Hargovind Dham Gurudwara intersection of Gram Panchayat Maheva.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"169","Normal/Others","WS/MP18226/2024-2025/169227-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara Singh Sabha intersection in Gram Panchayat Sisauna.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"170","Normal/Others","WS/MP18226/2024-2025/169853-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way at the intersection near Arif house in Mo. Atal Nagar (Buddhipurwa) of Nagar Panchayat Nighasan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"171","Normal/Others","WS/MP18226/2024-2025/169228-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Sada intersection of Gram Panchayat Anjanapur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"172","Normal/Others","WS/MP18226/2024-2025/169229-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Nanakpurwa intersection of Gram Panchayat Maheva.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"173","Normal/Others","WS/MP18226/2024-2025/169242-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Kuwarnapur intersection of Gram Panchayat Maheva.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166050"
"174","Normal/Others","WS/MP18226/2024-2025/169885-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection at Gurudwara Kaudiyala Ghat in village Barsola Kalan","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"175","Normal/Others","WS/MP18226/2024-2025/169887-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Binaura.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
