"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"633","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169373","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"634","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169374","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"635","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169374","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"636","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169375","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108349"
"637","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169375","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Sep-2025","Shiv Kumar","Payment Success","57701"
"638","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169376","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"639","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169376","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"640","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169838","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"641","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169838","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"642","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169839","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"643","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169839","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"644","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169840","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"645","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169840","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"646","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169841","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"647","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169841","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"648","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169851","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"649","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169851","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"650","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169852","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"651","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169852","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"652","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169853","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"653","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169853","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"654","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169854","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"655","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169854","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"656","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169855","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"657","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169855","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"658","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169856","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"659","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169856","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"660","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169880","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Jul-2025","Shiv Kumar","Payment Success","108338"
"661","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169880","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"662","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169881","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"663","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169881","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"664","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169882","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"665","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169882","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"666","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169883","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"667","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169883","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"668","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169884","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"669","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169884","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"670","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169885","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"671","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169885","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"672","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169886","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"673","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169886","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
"674","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169887","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","13-Jul-2025","Shiv Kumar","Payment Success","108338"
"675","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2024-2025/169887","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","21-Sep-2025","Shiv Kumar","Payment Success","57695"
