"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"57","Normal/Others","WS/MP18383/2026-2027/219844-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of CC Road From Motilal Jana Baroj to Culvert at Masumchak J.L no- 226 Plot-1518 Under Moyna-II G.P. Moyna Block,Purba Medinipur District, West Bengal.","18-Jul-2025","14-Jul-2026","400000","Sanction"
"58","Normal/Others","WS/MP18383/2026-2027/219847-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of CC Road From Krishna Prasad Barman to Sentu Das House at Harkuli Bhandarchak J.L no- 215 Plot-362 Under Moyna-I G.P. Moyna Block,Purba Medinipur District, West Bengal.","18-Jul-2025","25-May-2026","400000","Sanction"
"59","Normal/Others","WS/MP18383/2026-2027/219850-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of CC Road From Mahadeb Patra House to Chandra Sekhar Patra House J.L no- 184 Plot-1904,1905 Under Tilkhoja G.P. Moyna Block,Purba Medinipur District, West Bengal","18-Jul-2025","14-Jul-2026","400000","Sanction"
"60","Normal/Others","WS/MP18383/2025-2026/224698-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of PUCCA Drain and Road from Ajoy Niyogi to H.O. Pranab Kumar Das at Rabindra Pally Bhanga Para in Ward no-29 Under English Bazar Municipality, Malda, West Bengal.","05-Aug-2025","11-Feb-2026","997849","Physical Inspection"
"61","Normal/Others","WS/MP18383/2025-2026/224699-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Paver Block road from Khomta Baria house to house of Pukil Rava at Booth no-21 Tribal Para within Shalbari-I Gram Panchayat, Tufanganj-II Block, Coochbehar, West Bengal","05-Aug-2025","18-Dec-2025","1499833","Sanction"
"62","Normal/Others","WS/MP888/2026-2027/251789-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block Road from house of Mano Roy to house of Prafulla Roy under Baneswar G.P. within Cooch Behar-II block of District Cooch Behar.","01-Dec-2025","19-Aug-2026","9850044","Vendor Identification"
"63","Normal/Others","WS/MP18299/2026-2027/262301-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Construction of 1KM long 18ft wide PCC road at Chaupad village","29-Jan-2026","29-May-2026","3250000","Sanction"
"64","Normal/Others","WS/MP18299/2026-2027/262312-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Construction of 1 KM long 20ft wide PCC road with culvert 30ft into 20ft over Bhusudih canal from Bhakuadih Haat to Bhusudih village","29-Jan-2026","29-May-2026","6000000","Sanction"
"65","Normal/Others","WS/MP18299/2026-2027/262352-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Strengthening of road from Baram to Deolghata Prachin Mandir approx 1.5 KM under Arsha Development Block Purulia","29-Jan-2026","29-May-2026","5250000","Sanction"
"66","Normal/Others","WS/MP18299/2026-2027/262377-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","Construction of PCC road from Arsha Road to Hirapuradardih via Keta village and Chatambari High School of 1.5 KM","29-Jan-2026","29-May-2026","5250000","Sanction"
