"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"43","Trust and Society","WS/MP18383/2024-2025/161847-Setting up public non-conventional energy plants","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Set up a Grid connected Roof top solar Power Plant ( 30 KWP) at Ramkrishna Math Bolpur","27-Dec-2024","1350000","05-Feb-2025"
"44","Normal/Others","WS/MP888/2026-2027/255554-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Subal Roy house to Jelli Sarkar on Chila Roy road.","25-Dec-2025","280861","19-Aug-2026"
"45","Normal/Others","WS/MP888/2026-2027/255555-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Jelli Sarkar to Atul Adhikari house, on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"46","Normal/Others","WS/MP888/2026-2027/255556-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Atul Adhikari to Kishore Roy house, on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"47","Normal/Others","WS/MP888/2026-2027/255557-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Kishore Roy to Kanchan Roy house, on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"48","Normal/Others","WS/MP888/2026-2027/255558-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Kanchan Roy house to Shibu Roy on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"49","Normal/Others","WS/MP888/2026-2027/255559-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from Mashan Path to Prahlad Roy house, on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"50","Normal/Others","WS/MP888/2026-2027/255560-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of stand alone Solar Street Lighting system from house of Parimal Roy to Uttam Roy house, on Chila Roy road.","25-Dec-2025","320984","19-Aug-2026"
"51","Normal/Others","WS/MP888/2026-2027/255561-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of Solar High Mast at Mashan Path under Baneswar G.P.","25-Dec-2025","346415","19-Aug-2026"
"52","Normal/Others","WS/MP888/2026-2027/255562-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Estimate for installation of Solar High Mast at Dalendra Roy House under Baneswar G.P..","25-Dec-2025","346415","19-Aug-2026"
"53","Normal/Others","WS/MP888/2025-2026/145088-Street lights","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","1	Installation of Solar Street Light 57 Nos at road site of pucca road from Chakchaka Pathagar more to Das Store Near Barogila (26°21'3.55""N  89°29'59.91""E) Road .","01-Oct-2024","2843160","29-Oct-2025"
"54","Normal/Others","WS/MP888/2025-2026/145089-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Installation of 9 no Mini High Mast Solar Street Light System with 4x200 WP SPV Module, 4 Nos 100W semi integrated flood Light with 120 AH Lithium Ion Cell at 1.Chakchaka Harimandir (School),             2. Chakchaka Company Field,  3. Natun Nilkuthir hat, 4. Harur Dokan Bazar,           5. Samsan 6.Gilar par Kadam tala 7.Masan Babar Mandir 8.Baragila 9. Barogila Bot tala ,              .    on Road side from Chakchaka more to Gilarpar Kaljani road.","01-Oct-2024","5280444","29-Oct-2025"
"55","Normal/Others","WS/MP888/2025-2026/140058-Purchase of books for public libraries/ digitization of library books","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Purchase of books for 65 number of public libraries and schools","09-Sep-2024","13800426","24-Apr-2025"
"56","Normal/Others","WS/MP888/2025-2026/207350-Purchase of books and periodicals for libraries/digitization of library books","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Purchase of Books for Student of  7 number of  Schools and 2 numbers of Universities.","07-Jun-2025","19596140","21-Feb-2026"
"57","Normal/Others","WS/MP888/2025-2026/140127-Purchase of furniture and fixtures for educational purposes","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Seating furniture (Low and High Bench set) for Maharaja Nripendra Narayan High School (H.S.) and other 13 School of Coochbehar District","09-Sep-2024","9975000","21-Jul-2025"
"58","Normal/Others","WS/MP888/2025-2026/207351-Purchase of furniture and fixtures for educational purposes","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","seating furniture (Low and High Bench set) for Siddheswari Kokila Devi High School (H.S.) and others 21 Schools of Cooch Behar district.","07-Jun-2025","19950000","21-Feb-2026"
"59","Normal/Others","WS/MP18383/2025-2026/224699-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Paver Block road from Khomta Baria house to house of Pukil Rava at Booth no-21 Tribal Para within Shalbari-I Gram Panchayat, Tufanganj-II Block, Coochbehar, West Bengal","05-Aug-2025","1499833","18-Dec-2025"
"60","Normal/Others","WS/MP888/2026-2027/251789-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block Road from house of Mano Roy to house of Prafulla Roy under Baneswar G.P. within Cooch Behar-II block of District Cooch Behar.","01-Dec-2025","9850044","19-Aug-2026"
"61","Normal/Others","WS/MP888/2025-2026/207349-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block road with GSB subgrade from Chandanchoura- Astomir ghat road to Samsan ghat.","07-Jun-2025","1117178","21-Feb-2026"
"62","Normal/Others","WS/MP888/2025-2026/179982-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block road with GSB subgrade from Torsha band near house of Anjali Sarkar to Masan Path under Madhupur G.P. within Cooch Behar-II block of District Cooch Behar.","07-Mar-2025","8245381","29-Oct-2025"
"63","Normal/Others","WS/MP888/2025-2026/150710-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block  road  with GSB subgrade  from Action Club near Msanbabar Path on Kakina road to near House of Sri Tarakanta Barman under Gosanimari-II G.P within Dinhat-I block of District Cooch Behar.","04-Nov-2024","6496210.68","29-Oct-2025"
"64","Normal/Others","WS/MP888/2025-2026/150711-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction of Paver Block  road with GSB subgrade from Natabar Dham Choupathi to near house of Sri Nandura Barman under Gosanimari-II G.P within Dinhata-I block of District Cooch Behar.","04-Nov-2024","8617886","29-Oct-2025"
"65","Normal/Others","NA-Construction of footpaths and pedestrian ways","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Construction of Paver Block Road Works from Bidhannagar Primary Health Centre to Vivekananda Pally More at Sahadaragach under Bidhannagar - I GP Phansidewa Block, Disttt. Darjeeling","19-May-2026","3812153","NA"
"66","Normal/Others","NA-Providing drains and gutters for public drainage","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Water Drainage construction at Bijanbari Reling, Darjeeling district","13-Mar-2026","700000","NA"
"67","Repair and Renovation","NA-Construction of community centers and community halls","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Renovation of Smaja Ghar at Jorukh Dhura, Singhtam Tea Estate, Darjeeling district","13-Mar-2026","700000","NA"
"68","Normal/Others","NA-Construction of community centers and community halls","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Construction of Community Hall of Middle Khasmal Gram Sewa Samity at TumsangKhasmal under Jorebunglow Sukhiapokhri, Darjeeling. The proposed community hall will serce as ain important space for social, cultural and community activities for local residents.","20-Jul-2026","3098310","NA"
"69","Normal/Others","NA-Street lights","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Installation of Solar Street light system at Lower Lapchu under Lama Hatta Gram Panchayat within Rangli Rangliot Development Block in Darjeeling District.","13-Mar-2026","599904","NA"
"70","Normal/Others","NA-Street lights","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","Installation of Solar Street Light system at Uttar Chenga Busty (Belgachi) under Chenga Panighata Gram Panchayat within Mirik Development Block, Darjeeling District","13-Mar-2026","599904","NA"
"71","Normal/Others","NA-Improvement of electricity distribution infrastructure","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Assistance for Generator to ensure continuous Learning Environment at Sarada Vidyamandir (High School), Naxalbari,Darjeeling","10-Jul-2026","1039000","NA"
"72","Normal/Others","WS/MP18382/2024-2025/145139-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar street light @ 16nos from H/O Dilip Murmu to H/O Durga Mumu JL No.5, Mouza Ramnathpur under Mahanad GP, Block Polba Dadpur","02-Oct-2024","499984","20-Jan-2025"
"73","Normal/Others","WS/MP18382/2024-2025/145140-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar street lights @ 16 nos from H/O Mahadeb Kisku to H/O Sagarmoni Tudu, JL No.12, Mouza Uttar Dadpur under Mahanad GP, Block Polba Dadpur","02-Oct-2024","499984","20-Jan-2025"
"74","Normal/Others","WS/MP18382/2024-2025/145141-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar street lights @ 16 nos from Bagri Masjid to Dadpur, JL No. 8, Mouza Bagri under Digsui Hoyera GP, Block Chinsura Mogra","02-Oct-2024","499984","20-Jan-2025"
"75","Normal/Others","WS/MP18382/2024-2025/145142-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar street lights @ 16 nos from Talandu Chowmatha to Pry School, JL No. 03, Mouza Talandu   under Digsui Hoera GP, Block Chinsura Mogra.","02-Oct-2024","499984","20-Jan-2025"
"76","Normal/Others","WS/MP18382/2024-2025/145143-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar street  lights @ 16 nos from Panchgara High School to hari Guru Gopal Chand Dham Mandir, JL No. 26, Mouza Uttar Dadpur under Panchgara Torgram GP, Block Pandua","02-Oct-2024","499984","20-Jan-2025"
"77","Normal/Others","WS/MP18382/2024-2025/145144-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar Highmast light @ 01 no. near Somra II GP Office, JL No. 38 under Somra II GP, Block Balagarh.","02-Oct-2024","379000","20-Jan-2025"
"78","Normal/Others","WS/MP18382/2024-2025/145145-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Installation of integrated solar Highmast light @ 01 no. near Somra Durgacharan High School, JL No. 37 Mouza Somra under Somra II GP. Block Balagarh.","02-Oct-2024","379000","20-Jan-2025"
