"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"52","Normal/Others","WS/MP086/2025-2026/227457-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","development of cement concrete road at Bangalore Urban, Yelahanka talluk, guddadahalli gnanabharathi school to nagesh home","18-Aug-2025","499596","06-Mar-2026"
"53","Normal/Others","WS/MP086/2025-2026/227459-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore Urban, Yelahanka talluk, Hurulichikkanahalli grama panchayath,from sanjeev home to rukmini home","18-Aug-2025","499596","06-Mar-2026"
"54","Normal/Others","WS/MP086/2025-2026/227463-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore urban, yelahanka talluk, hesaraghatta grama panchayath, hesaraghatta prabhu home to hema home","18-Aug-2025","499596","06-Mar-2026"
"55","Normal/Others","WS/MP086/2025-2026/227467-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore urban, Yelahanka talluk, hesaraghatta village from kumar home to rajesh home","18-Aug-2025","499063","25-Feb-2026"
"56","Normal/Others","WS/MP086/2025-2026/227468-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore Urban, Bangalore North talluk, gopalapura grama panchayath, totagere village from maranna home to viranjanappa home","18-Aug-2025","498416","25-Feb-2026"
"57","Normal/Others","WS/MP086/2025-2026/227469-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of road and drainage at Bangalore Urban, Yelahanka taluk, hurali Chikkanahalli grama panchayath, shubhash nagar lataraj home to prasanna home","18-Aug-2025","499585","25-Feb-2026"
"58","Normal/Others","WS/MP086/2025-2026/227472-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore urban, yelahanka talluk,  sonnenahalli grama panchayath, challahalli village radhamma home to narayanaswamy home","18-Aug-2025","500000","25-Feb-2026"
"59","Normal/Others","WS/MP086/2025-2026/240742-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore district, Jayanagar assembly constituency, ward 168 marenahalli, 8th main road, 8th cross","08-Oct-2025","5500000","20-Dec-2025"
"60","Normal/Others","WS/MP086/2025-2026/230178-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from vasu home to shyamanna home at bangalore urban, yelahanka talluk, sonnenahalli grama panchayath","29-Aug-2025","500000","25-Feb-2026"
"61","Normal/Others","WS/MP086/2025-2026/230180-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from purushottam home to govindaraju home at bangalore urban, yelahanka talluk, guddadahalli village","29-Aug-2025","499078","25-Feb-2026"
"62","Normal/Others","WS/MP086/2025-2026/230182-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from madhurai main road to kumar home at bengaluru north talluk, gopalapura grama panchayath, kukkanahalli village","29-Aug-2025","499389","25-Feb-2026"
"63","Normal/Others","WS/MP086/2025-2026/230187-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road and drainage from siddaraju home to somanna home at yelahanka talluk, kodagi thirumalapura  village","29-Aug-2025","499596","25-Feb-2026"
"64","Normal/Others","WS/MP086/2025-2026/230189-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from sasiveghatta village main road to vasanth home at yelahanka talluk, sasiveghatta village","29-Aug-2025","499078","25-Feb-2026"
"65","Normal/Others","WS/MP086/2025-2026/230192-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from shabarinagar nagaraju home to sathish home at yelahanka talluk, hurali chikkanahalli grama panchayath","29-Aug-2025","499078","20-Dec-2025"
"66","Normal/Others","WS/MP086/2025-2026/230195-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road viji home to rajanna home at bengaluru north talluk, gopalapura grama panchayath, totagere village","29-Aug-2025","499182","20-Dec-2025"
"67","Normal/Others","WS/MP086/2025-2026/230196-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from shekhar home to rajesh home at yelahanka talluk, kodagi thirumalapura village","29-Aug-2025","499063","20-Dec-2025"
"68","Normal/Others","WS/MP086/2025-2026/230197-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road and drainage from hesaraghatta to hosahallipalya at yelahanka talluk, hesaraghatta grama panchayath","29-Aug-2025","499596","20-Dec-2025"
"69","Normal/Others","WS/MP086/2025-2026/255706-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","development of concrete road from Bangalore North talluk, Dasanapura Hobali, Kuduregere village, Kuduregere Sasuveghatta road to 1st cross","27-Dec-2025","499217","24-Feb-2026"
