"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"531","Normal/Others","WS/MP18283/2025-2026/238290-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of CC road at Champadeipur Harijana Sahi.","26-Sep-2025","07-Feb-2026","900000","Work Completed"
"532","Normal/Others","WS/MP18283/2025-2026/238351-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","Construction of Paver Block road At Laxmi Nrusinghanagar, Gopalpur, Baliguali","26-Sep-2025","30-Mar-2026","500000","Sanction"
"533","Normal/Others","WS/MP132/2025-2026/242928-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Hari Jena house to Matha Pokhari Road.","18-Oct-2025","26-Feb-2026","500000","Sanction"
"534","Normal/Others","WS/MP132/2025-2026/242929-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road at Sanhantuada East Side Smasan Road.","18-Oct-2025","26-Feb-2026","500000","Work Completed"
"535","Normal/Others","WS/MP131/2025-2026/243958-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Jogamaya Temple to Ashok Kandi House, Kaimatia.","25-Oct-2025","22-Dec-2025","400000","Work Completed"
"536","Normal/Others","WS/MP132/2025-2026/245896-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of CC road from Bhaskar Sahu house to Maa Tarini Temple.","04-Nov-2025","01-Jan-2026","500000","Work Completed"
"537","Normal/Others","WS/MP138/2025-2026/253600-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Silastamb Village CC road in VIllage Silastambh in Nial GP Jena Sahi CC road, Ward No.15","12-Dec-2025","17-Jan-2026","800000","Physical Inspection"
"538","Normal/Others","WS/MP138/2025-2026/253601-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road from R B Road to Sailendra Mallick House in Village GP Nial Ward No 5","12-Dec-2025","17-Jan-2026","700000","Physical Inspection"
"539","Normal/Others","WS/MP138/2025-2026/253604-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Depression filling of CC road from Asanbani Kalo main Canal to Asanbani Village road, Ward No.7, at Asanbani under Pingu GP, Kaptipada Blick","12-Dec-2025","05-Jan-2026","1000000","Work Completed"
"540","Normal/Others","WS/MP138/2025-2026/253606-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road from RD road to Jena Sahi at village Sanakhaladi GP Badakhaladi Ward No.9","12-Dec-2025","05-Jan-2026","1000000","Physical Inspection"
"541","Normal/Others","WS/MP138/2025-2026/253608-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC road from Achutibhai house to bathing ghat tank Ward No.2","12-Dec-2025","15-Feb-2026","500000","Sanction"
"542","Normal/Others","WS/MP138/2025-2026/257487-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of returning wall with CC road at Salabani, Village-Kundabai, GP-Kundabai, Block-Udala, Executive Agency-ITDA-Kaptipada Udala","06-Jan-2026","11-Feb-2026","1000000","Physical Inspection"
"543","Normal/Others","WS/MP138/2026-2027/257488-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Baba Rajarajeshwar CC near Baba RajaRajeswar Temple Ward No.4","06-Jan-2026","18-Jul-2026","500000","Sanction"
