"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"349","Odisha","Street lights","WS/MP138/2025-2026/203353","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"350","Odisha","Street lights","WS/MP138/2025-2026/203354","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"351","Odisha","Street lights","WS/MP138/2025-2026/203355","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"352","Odisha","Street lights","WS/MP138/2025-2026/203356","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"353","Odisha","Street lights","WS/MP138/2025-2026/203357","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"354","Odisha","Street lights","WS/MP138/2025-2026/203358","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"355","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","MEMBER SECY OB AND OC WWB BBSR","Payment Success","8000"
"356","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","MS BDO KARANJIA","Payment Success","4255"
"357","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","DMFT Fund","Payment Success","244"
"358","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","Royality Addl Royality","Payment Success","8135"
"359","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","MITALIN DHAL","Payment Success","779244"
"360","Odisha","Construction of water tanks","WS/MP138/2025-2026/203489","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Apr-2026","EMF","Payment Success","122"
"361","Odisha","Street lights","WS/MP138/2025-2026/203490","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"362","Odisha","Street lights","WS/MP138/2025-2026/203490","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","180000"
"363","Odisha","Street lights","WS/MP138/2025-2026/203490","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","18000"
"364","Odisha","Street lights","WS/MP138/2025-2026/203491","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"365","Odisha","Street lights","WS/MP138/2025-2026/203491","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"366","Odisha","Street lights","WS/MP138/2025-2026/203492","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"367","Odisha","Street lights","WS/MP138/2025-2026/203492","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"368","Odisha","Street lights","WS/MP138/2025-2026/203493","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"369","Odisha","Street lights","WS/MP138/2025-2026/203493","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"370","Odisha","Street lights","WS/MP138/2025-2026/203494","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"371","Odisha","Street lights","WS/MP138/2025-2026/203494","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"372","Odisha","Street lights","WS/MP138/2025-2026/203495","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"373","Odisha","Street lights","WS/MP138/2025-2026/203495","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"374","Odisha","Construction of rooms and halls in school and colleges","WS/MP138/2025-2026/204665","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Mr Manas Ranjan Dash","Payment Success","300000"
"375","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/204685","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-May-2026","SATYABAN BARIK","Payment Success","200000"
"376","Odisha","Street lights","WS/MP138/2025-2026/204686","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","24-Mar-2026","KALINGA ELECTRICAL CORPORATION","Payment Success","490000"
"377","Odisha","Establishing public ground water recharging facilities","WS/MP138/2025-2026/204689","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","04-Apr-2026","RAMAKRUSHNA MOHAPATRA","Payment Success","155000"
"378","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/204691","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Jun-2026","NIMITA BHOI","Payment Success","200000"
"379","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2000"
"380","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","EMF","Payment Success","232"
"381","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","JAGAT KISHORE NAIK","Payment Success","171740"
"382","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","Tahasildar Kusumi","Payment Success","21031"
"383","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","DMFT Fund","Payment Success","464"
"384","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205451","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","03-Nov-2025","MP LAD BDO KUSUMI","Payment Success","4533"
"385","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205452","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-Oct-2025","MEMBER SECY OB AND OC WWB BBSR","Payment Success","2500"
"386","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205452","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-Oct-2025","EMF","Payment Success","293"
"387","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205452","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-Oct-2025","JAGAT KISHORE NAIK","Payment Success","214273"
