"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"45","Normal/Others","WS/MP186/2023-2024/81758-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place near Kanothi Ashram","14-Jan-2024","23-Feb-2024","4000000","Vendor Identification"
"46","Normal/Others","WS/MP186/2023-2024/81794-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of night shelter at public place at Mahadev Temple.","14-Jan-2024","21-Feb-2024","2989858","Physical Inspection"
"47","Normal/Others","WS/MP186/2024-2025/141250-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of Sabri Ashram night shelter in Village Panchayat Kewaljhar Block Halia","16-Sep-2024","19-Feb-2025","4500000","Physical Inspection"
"48","Normal/Others","WS/MP186/2026-2027/274960-Construction of night shelters for homeless","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of a Night Shelter near Kanauthi Ashram in Son Gadha Village, Haliya Development Block.","19-Mar-2026","24-Jun-2026","3500000","Sanction"
"49","Normal/Others","WS/MP202/2025-2026/199242-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND MUNGRA BADSAHPUR JANGHAI CHAURAHA BADSAHPUR P ME SARVJANIK YATRI SHEDS -YATRI PRATIKSHALAY KA ADHISTHAPAN KARYA","13-May-2025","24-Jun-2025","1195000","Work partially Completed"
"50","Normal/Others","WS/MP202/2025-2026/199243-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND MUNGRA BADSAHPUR DAULATIYA MANDIR  ME SARVJANIK YATRI SHEDS -YATRI PRATIKSHALAY KA ADHISTHAPAN KARYA","13-May-2025","24-Jun-2025","1195000","Vendor Identification"
"51","Normal/Others","WS/MP202/2025-2026/199244-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND SUJANGANJ BASRAHI AMBA DEVUI MANDIR PAR SUJANGANJ ME SARVJANIK YATRI SHEDS -YATRI PRATIKSHALAY KA ADHISTHAPAN KARYA","13-May-2025","24-Jun-2025","1195000","Work partially Completed"
"52","Normal/Others","WS/MP202/2025-2026/199245-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND SUJANGANJ RODEWAYS SUJANGANJ ME SARVJANIK YATRI SHEDS -YATRI PRATIKSHALAY KA ADHISTHAPAN KARYA","13-May-2025","24-Jun-2025","1195000","Work partially Completed"
"53","Normal/Others","WS/MP202/2025-2026/199246-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","VIKASH KHAND MUNGRA BADSHPUR TARAHTI MODE  PAR SARVJANIK YATRI SHEDS -YATRI PRATIKSHALAY KA ADHISTHAPAN KARYA","13-May-2025","24-Jun-2025","1195000","Work partially Completed"
"54","Normal/Others","WS/MP181/2025-2026/229314-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","According to list attached","26-Aug-2025","23-Jan-2026","2303000","Physical Inspection"
