work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP053/2025-2026/196426,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the cement factory to towards the house of Nirmala Devi.,2025-05-03,1385841.0,2025-05-19,1385841.0,Physical Inspection,1.0,1385841.0,1385841.0,1385841.0,2025-08-01,2025-08-01,ASSISTANT ENGINEER FATUHA,True,2025-08-01,1385841.0,1.0,0.0,16.0,0.0,74.0,1
Normal/Others,WS/MP053/2025-2026/196445,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the farm house of Vijay Sarpanch jee to the boundary of Bishop School,2025-05-03,1480080.0,2025-05-19,1480080.0,Physical Inspection,1.0,1480080.0,1480080.0,1480080.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1480080.0,1.0,0.0,16.0,0.0,41.0,1
Normal/Others,WS/MP053/2025-2026/196446,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Brajesh kumar to the house of biren singh in ward no. 01,2025-05-03,1336700.0,2025-05-19,1336700.0,Physical Inspection,1.0,1336700.0,1336700.0,1336700.0,2025-06-29,2025-06-29,ASSISTANT ENGINEER FATUHA,True,2025-06-29,1336700.0,1.0,0.0,16.0,0.0,41.0,1
Normal/Others,WS/MP053/2025-2026/196447,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from primary school to the boundary wall of sudama singh in ward no.14 Rampur,2025-05-03,1277400.0,2025-05-19,1277400.0,Physical Inspection,1.0,1277400.0,1277400.0,1277400.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1277400.0,1.0,0.0,16.0,0.0,58.0,1
Normal/Others,WS/MP053/2025-2026/196448,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of munna jee to the house of Dinkar jee in ward no.14 Rampur,2025-05-03,1475100.0,2025-05-19,1475100.0,Physical Inspection,1.0,1475100.0,1475100.0,1475100.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1475100.0,1.0,0.0,16.0,0.0,58.0,1
Normal/Others,WS/MP053/2025-2026/196449,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Ram Babu Singh to the boundary wall of Isranandan Singh in ward no.14 Rampur,2025-05-03,1479600.0,2025-05-19,1479600.0,Physical Inspection,1.0,1479600.0,1479600.0,1479600.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1479600.0,1.0,0.0,16.0,0.0,58.0,1
Normal/Others,WS/MP053/2025-2026/196452,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the  Shahpur Main Road towards the house of Sunder Paswan in jaganpura,2025-05-03,997200.0,2025-06-10,997200.0,Physical Inspection,1.0,997200.0,997200.0,997200.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,997200.0,1.0,0.0,38.0,0.0,129.0,1
Normal/Others,WS/MP053/2025-2026/196453,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Shambhu Singh towards Sita Nawal Path,2025-05-03,1492700.0,2025-06-10,1492700.0,Physical Inspection,1.0,1492700.0,1492700.0,1492700.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492700.0,1.0,0.0,38.0,0.0,129.0,1
Normal/Others,WS/MP053/2025-2026/196454,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Sanjeev jee to the plot of Bulkan Shah,2025-05-03,1491500.0,2025-06-10,1491500.0,Physical Inspection,1.0,1491500.0,1491500.0,1491500.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1491500.0,1.0,0.0,38.0,0.0,129.0,1
Normal/Others,WS/MP053/2025-2026/196455,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of Ramprakash singh to the house of Prabhat Kumar,2025-05-03,1492700.0,2025-06-10,1492700.0,Physical Inspection,1.0,1492700.0,1492700.0,1492700.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492700.0,1.0,0.0,38.0,0.0,129.0,1
