work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP084/2024-2025/39208,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Concrete road development work, Lakkuppe Village, Channenahalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.",2023-10-20,500000.0,2024-07-05,500000.0,Work partially Completed,1.0,499800.0,499800.0,499800.0,2024-07-10,2024-07-10,SIDDALING,,,,0.9996,0.0,259.0,0.0,,1
Normal/Others,WS/MP084/2024-2025/39229,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,498420.0,2024-09-13,498420.0,Physical Inspection,1.0,498420.0,498420.0,498420.0,2024-10-21,2024-10-21,Tejas Bn,False,2024-10-21,498420.0,1.0,0.0,329.0,0.0,38.0,1
Normal/Others,WS/MP084/2024-2025/39230,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete road development work.,2023-10-20,498901.0,2024-09-13,498901.0,Physical Inspection,1.0,498901.0,498901.0,498901.0,2024-10-21,2024-10-21,LINGARAJ YADAV J,False,2024-10-21,498901.0,1.0,0.0,329.0,0.0,38.0,1
Normal/Others,WS/MP084/2024-2025/39231,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,499365.0,2024-09-13,499365.0,Physical Inspection,1.0,499365.0,499365.0,499365.0,2024-11-21,2024-11-21,Tejas Bn,False,2024-11-21,499365.0,1.0,0.0,329.0,0.0,69.0,1
Normal/Others,WS/MP084/2024-2025/39232,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,499365.0,2024-09-13,499365.0,Physical Inspection,1.0,499365.0,499365.0,499365.0,2024-10-21,2024-10-21,Tejas Bn,False,2024-10-21,499365.0,1.0,0.0,329.0,0.0,38.0,1
Normal/Others,WS/MP084/2024-2025/39233,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,498173.0,2024-09-13,498173.0,Physical Inspection,1.0,498173.0,498173.0,498173.0,2024-11-28,2024-11-28,V R RANGAIAH,False,2024-11-28,498173.0,1.0,0.0,329.0,0.0,76.0,1
Normal/Others,WS/MP084/2024-2025/39234,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,499365.0,2024-09-13,499365.0,Physical Inspection,1.0,499365.0,499365.0,499365.0,2024-11-22,2024-11-22,SIDDALING,False,2024-11-22,499365.0,1.0,0.0,329.0,0.0,70.0,1
Normal/Others,WS/MP084/2024-2025/39235,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,499365.0,2024-09-13,499365.0,Physical Inspection,1.0,499365.0,499365.0,499365.0,2024-11-22,2024-11-22,LINGARAJ YADAV J,False,2024-11-22,499365.0,1.0,0.0,329.0,0.0,70.0,1
Normal/Others,WS/MP084/2024-2025/39236,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,499365.0,2024-09-13,499365.0,Physical Inspection,1.0,499365.0,499365.0,499365.0,2025-07-28,2025-07-28,LINGARAJ YADAV J,False,2025-07-28,499365.0,1.0,0.0,329.0,0.0,318.0,1
Normal/Others,WS/MP084/2024-2025/39237,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,498480.0,2024-09-13,498480.0,Physical Inspection,1.0,498480.0,498480.0,498480.0,2025-07-28,2025-07-28,SIDDALING,False,2025-07-28,498480.0,1.0,0.0,329.0,0.0,318.0,1
