"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"43","Normal/Others","WS/MP086/2025-2026/227456-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road near bangalore urban district, Yalahanka Talluk, Sasuveghatta main road to Chennakeshava home","18-Aug-2025","06-Mar-2026","499063","Physical Inspection"
"44","Normal/Others","WS/MP086/2025-2026/227457-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","development of cement concrete road at Bangalore Urban, Yelahanka talluk, guddadahalli gnanabharathi school to nagesh home","18-Aug-2025","06-Mar-2026","499596","Physical Inspection"
"45","Normal/Others","WS/MP086/2025-2026/227459-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore Urban, Yelahanka talluk, Hurulichikkanahalli grama panchayath,from sanjeev home to rukmini home","18-Aug-2025","06-Mar-2026","499596","Physical Inspection"
"46","Normal/Others","WS/MP086/2025-2026/255706-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","development of concrete road from Bangalore North talluk, Dasanapura Hobali, Kuduregere village, Kuduregere Sasuveghatta road to 1st cross","27-Dec-2025","24-Feb-2026","499217","Physical Inspection"
"47","Normal/Others","WS/MP086/2025-2026/255710-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of concrete road at Bangalore, Yelahanka talluk, Hesaraghatta hobali, Tarabanahalli Kumbarahalli Border road Lakshmipathi home to bairanna Land","27-Dec-2025","24-Feb-2026","500000","Physical Inspection"
"48","Normal/Others","WS/MP086/2025-2026/255726-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of Concrete road at Bangalore, Yelahanka Taluk, Hesaraghatta hobali, Kumbarahalli border road 1st cross","27-Dec-2025","24-Feb-2026","500000","Physical Inspection"
"49","Normal/Others","WS/MP086/2025-2026/255728-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of concrete road at Bangalore, Yelahanka talluk, Hesaraghatta Hobali, Kasaghattapura grama Panchayath, Narayanappa Home to Ramanjaneya Home","27-Dec-2025","24-Feb-2026","499448","Physical Inspection"
"50","Normal/Others","WS/MP086/2025-2026/255730-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Construction of concrete road at Bangalore, Yelahanka Talluk, Hesaraghatta hobali, Hurulichikkanahalli grama panchayath, Tarabanahalli pipe line road to Shreedhar home","27-Dec-2025","25-Feb-2026","499448","Physical Inspection"
"51","Normal/Others","WS/MP086/2026-2027/263791-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Bengaluru District, North Talluk, Dasanapura Hobali, Kuduregere grama, Narayanadhama main road to Kere road, Concrete road work","31-Jan-2026","19-Jun-2026","500000","Physical Inspection"
"52","Normal/Others","WS/MP086/2026-2027/263795-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of concrete road at Bangalore District, Yelahanka Talluk, Hesaraghatta hobali, Tarabanahalli kumbarahalli road, Nagesh home to Nandakumar home","31-Jan-2026","19-Jun-2026","500000","Physical Inspection"
"53","Normal/Others","WS/MP086/2025-2026/240742-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore district, Jayanagar assembly constituency, ward 168 marenahalli, 8th main road, 8th cross","08-Oct-2025","20-Dec-2025","5500000","Work partially Completed"
"54","Normal/Others","WS/MP086/2025-2026/227463-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore urban, yelahanka talluk, hesaraghatta grama panchayath, hesaraghatta prabhu home to hema home","18-Aug-2025","06-Mar-2026","499596","Physical Inspection"
"55","Normal/Others","WS/MP086/2025-2026/227467-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road at Bangalore urban, Yelahanka talluk, hesaraghatta village from kumar home to rajesh home","18-Aug-2025","25-Feb-2026","499063","Physical Inspection"
"56","Normal/Others","WS/MP086/2025-2026/227468-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore Urban, Bangalore North talluk, gopalapura grama panchayath, totagere village from maranna home to viranjanappa home","18-Aug-2025","25-Feb-2026","498416","Physical Inspection"
"57","Normal/Others","WS/MP086/2025-2026/227469-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of road and drainage at Bangalore Urban, Yelahanka taluk, hurali Chikkanahalli grama panchayath, shubhash nagar lataraj home to prasanna home","18-Aug-2025","25-Feb-2026","499585","Physical Inspection"
"58","Normal/Others","WS/MP086/2025-2026/227472-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of concrete road at Bangalore urban, yelahanka talluk,  sonnenahalli grama panchayath, challahalli village radhamma home to narayanaswamy home","18-Aug-2025","25-Feb-2026","500000","Physical Inspection"
"59","Normal/Others","WS/MP086/2025-2026/230178-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from vasu home to shyamanna home at bangalore urban, yelahanka talluk, sonnenahalli grama panchayath","29-Aug-2025","25-Feb-2026","500000","Physical Inspection"
"60","Normal/Others","WS/MP086/2025-2026/230180-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from purushottam home to govindaraju home at bangalore urban, yelahanka talluk, guddadahalli village","29-Aug-2025","25-Feb-2026","499078","Physical Inspection"
"61","Normal/Others","WS/MP086/2025-2026/230182-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road from madhurai main road to kumar home at bengaluru north talluk, gopalapura grama panchayath, kukkanahalli village","29-Aug-2025","25-Feb-2026","499389","Physical Inspection"
"62","Normal/Others","WS/MP086/2025-2026/230187-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of cement concrete road and drainage from siddaraju home to somanna home at yelahanka talluk, kodagi thirumalapura  village","29-Aug-2025","25-Feb-2026","499596","Physical Inspection"
