"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"37","Normal/Others","WS/MP204/2026-2027/275906-Construction of community centers and community halls","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Tin shed at Ranigaanv Panchayat Chowk, kalsi Block Dehradun","26-Mar-2026","23-May-2026","400000","Vendor Identification"
"38","Normal/Others","WS/MP204/2026-2027/280047-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a Chhatri at the southern cremation ground of Village and Post Sherpur Khelmau, Block Narsan, District Haridwar.","09-May-2026","01-Jul-2026","1000000","Sanction"
"39","Normal/Others","WS/MP204/2026-2027/281201-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Renovation of the Community Center at Roorkee Awas Vikas Parishad, Roorkee","16-May-2026","24-Jun-2026","2000000","Sanction"
"40","Normal/Others","WS/MP204/2026-2027/288946-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a roof (Chhatri) at the Cremation Ground of Gram Panchayat Patti Dada, Block Bhagwanpur, Haridwar.","24-Jun-2026","14-Aug-2026","1000000","Sanction"
"41","Normal/Others","WS/MP204/2026-2027/294283-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a Roof (Chhatri) at the cremation ground of Village Mohammadpur Begpur Urf Takabhari (Block Bahadrabad) District Haridwar.","13-Jul-2026","14-Aug-2026","1000000","Sanction"
"42","Normal/Others","WS/MP204/2026-2027/296995-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a boundary wall at the Roorkee Awas Vikas Parishad community center.","19-Jul-2026","04-Aug-2026","2000000","Sanction"
"43","Normal/Others","WS/MP850/2025-2026/254132-Construction of public libraries and reading rooms","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","kuja bahadurpur mein sahid raja vijay singh smarak mein pratham tal par smart library hetu kaksh evam shochalya nirman.ia (karyadai sanstatha) -block roorkee","15-Dec-2025","25-Feb-2026","1800000","Sanction"
"44","Normal/Others","WS/MP204/2023-2024/92134-Construction of night shelters for homeless","Uttarakhand","Rudraprayag(DM Rudraprayag_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","construction of Rain Shelter shed in village Daira, Block Ukhimath, dist. Rudraprayag","30-Jan-2024","20-Feb-2024","250000","Sanction"
"45","Normal/Others","WS/MP850/2023-2024/87160-Construction of common work sheds/ common covered sitting area","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF COMMUNITY CENTRE/SHED AT GIC PATEL NAGAR IA(KARYADAI SANSTATHA )- NAGAR PALIKA PARISHAD HERBURTPUR","23-Jan-2024","28-Feb-2024","300000","Physical Inspection"
"46","Normal/Others","WS/MP18333/2026-2027/253664-Construction of common work sheds/ common covered sitting area","Uttarakhand","CHAMOLI(DM Chamoli_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Vikash Khand Nanda Nagar me Gram Panchayat Matai ke dona tok me tin shed nirman, K.S.- Gram Panchayat Matai","12-Dec-2025","19-Jun-2026","500000","Sanction"
"47","Normal/Others","WS/MP18333/2026-2027/253666-Construction of common work sheds/ common covered sitting area","Uttarakhand","CHAMOLI(DM Chamoli_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Vikash Khand dasholi ke ansuya tok me tinshed ka nirman- farsh nirman, K.S.- Vikash Khand Adhikari Dasholi","12-Dec-2025","02-Apr-2026","500000","Sanction"
"48","Trust and Society","WS/MP18333/2026-2027/267887-Construction of common work sheds/ common covered sitting area","Uttarakhand","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Janpad Nainital ke Haldwani me bar Association Haldwani me Ten shed ya ren shelder Nirman. Karyadai sansth vikash Khand Adhikari haldwani","13-Feb-2026","22-May-2026","500000","Sanction"
"49","Normal/Others","WS/MP18333/2026-2027/278610-Construction of common work sheds/ common covered sitting area","Uttarakhand","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Vikas Khand Pati ke Gram Sabha Jhudaili me Gram Bisari me Tinshed Nirman. K.S. Khand Vikash Adhikari Pati","19-Apr-2026","22-May-2026","200000","Sanction"
