"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"534","Normal/Others","WS/MP147/2024-2025/152608-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of drain along CC road from Islam's house towards Hakam's house in village Bilang.","14-Nov-2024","24-Jan-2025","500000","Sanction"
"535","Normal/Others","WS/MP18285/2024-2025/153568-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","Valley cutting through gravel road (Charkani to Gad Ki and Gram Panchayat Charkani)","21-Nov-2024","30-Dec-2024","1000000","Work partially Completed"
"536","Normal/Others","WS/MP18285/2024-2025/153569-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","Valley cutting on gravel road from Limdiwali Mali to Kuvesia Road and Gram Panchayat Charkani.","21-Nov-2024","30-Dec-2024","1000000","Work partially Completed"
"537","Normal/Others","WS/MP147/2024-2025/153765-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Gravel road construction work in Gram Panchayat Bakalsar from Prem Oad 9 MJD house towards Baba Ramdev Temple.","21-Nov-2024","21-Nov-2024","1500000","Physical Inspection"
"538","Normal/Others","WS/MP18285/2024-2025/156280-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","CC road construction work (CC road work from Main Road to Pahadiya via Damor Basti)","01-Dec-2024","07-Jan-2025","1467740","Physical Inspection"
"539","Normal/Others","WS/MP148/2024-2025/156298-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Balotra(DISTRICT COLLECTOR Balotra_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of CC Block Road at Cremation Grond, Village - Pachpadra, Dist. - Balotra","01-Dec-2024","16-Jan-2025","994499","Physical Inspection"
"540","Normal/Others","WS/MP148/2024-2025/158715-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of interlock road with darainage from Satpal Nehra house to Satywan Nehra house onwards at 14 Ams Sherpura Village","14-Dec-2024","18-Jan-2025","999402","Physical Inspection"
"541","Normal/Others","WS/MP148/2024-2025/160645-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Main Gate onwards village at Iswarisinghpura Village, Gram Panchayt - Fauladpur, Panchayt Samiti - Nimrana, Dist. - Kotputli - Behror","21-Dec-2024","30-Jan-2025","2000000","Work Completed"
"542","Normal/Others","WS/MP145/2024-2025/162423-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","INTERLOCK ROAD DEVELOPMENT WORK FROM MAIN DAMAR ROAD TO JHABARMAL KI DHANI","30-Dec-2024","08-Feb-2025","997888","Physical Inspection"
"543","Normal/Others","WS/MP18285/2024-2025/165002-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","CC Road from Main Road to Basti in Ranauli","19-Jan-2025","21-Feb-2025","500000","Work partially Completed"
"544","Normal/Others","WS/MP18295/2024-2025/165231-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Gravel Road from Rahumavi Soder ki Dhani to Jaleli Sarhad at Gram Panchayat Soder ki Dhani","14-Jan-2025","10-Mar-2025","924624","Physical Inspection"
"545","Normal/Others","WS/MP18295/2024-2025/165456-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of CC Road from  Narsingh Bhagwan Temple towards  Bus Stand, Village Bhamod, Tehsil Viratnagar, Kothputli Bahrod","14-Jan-2025","23-Jan-2025","1000000","Work partially Completed"
"546","Normal/Others","WS/MP18295/2024-2025/165476-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of CC Road Interlocking tiles at near the residence of Siyaram Meena, extending towards the residence of Kapoor and Dev Baba, in Village Kanchanpura, Gram Panchayat Kuttin Sabdas","14-Jan-2025","24-Feb-2025","498782","Physical Inspection"
