"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1596","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"1597","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"1598","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Sumit Trading Company","Payment Success","175500"
"1599","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","19200"
"1600","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"1601","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"1602","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Billa Contractor","Payment Success","103700"
"1603","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Mar-2026","Banarsi Dass and Sons","Payment Success","73724"
"1604","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1605","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1606","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1607","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1608","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","31360"
