"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"48","Normal/Others","WS/MP204/2025-2026/184082-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of interlocking tiles road from the main road towards Shri Rakesh Bhagat in scheduled caste dominated village Ganja Mazra, Gram Panchayat Khedi Shikohpur, Block Bhagwanpur.","20-Mar-2025","400000","08-May-2025"
"49","Normal/Others","WS/MP204/2025-2026/184086-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of interlocking tiles road from the house of dealer Vikram Singh towards Baba Saheb Bhimrao Ambedkar Bhawan in Scheduled Caste Colony of Gram Panchayat Sohalpur (Sikroda), Block Bahadarabad.","20-Mar-2025","800000","21-Apr-2025"
"50","Normal/Others","WS/MP204/2025-2026/186808-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Road construction with interlocking tiles from Shri Pratap house towards Ravidas temple in village Mandawar, Block Bhagwanpur","26-Mar-2025","1000000","08-May-2025"
"51","Normal/Others","WS/MP204/2025-2026/186819-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Road construction by interlocking tiles from the Samadhi of Late Shri Roopram Saini towards the farm of Shri Rajendra Saini in village Dada Jalalpur, Block Bhagwanpur, District Haridwar","26-Mar-2025","1000000","08-May-2025"
"52","Normal/Others","WS/MP850/2025-2026/206303-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","ward no-1 sherpur ke shamshan ghat mein interlocking tiles sadak nirman karya.ia (karyadai sanstatha)block roorkee","04-Jun-2025","1264000","23-Aug-2025"
"53","Normal/Others","WS/MP850/2025-2026/206304-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","ward 13 mein south civil line mein vinay ke makan se sandeep ke makan ki aur interlocking tiles sadak nirman karya.ia (karyadai sanstatha)-block roorkee","04-Jun-2025","959000","23-Aug-2025"
"54","Normal/Others","WS/MP850/2025-2026/206305-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram amarpur quazi mein main road se dharamveer ke makan ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block roorkee","04-Jun-2025","996000","23-Aug-2025"
"55","Normal/Others","WS/MP204/2025-2026/210198-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of C.C. road from the house of Shri Kishore Juyal to the house of Sapna in Village Shafipur, Block Roorkee (Subhash Nagar Colony of Roorkee Nagar Nigam, Ward No. 21)","18-Jun-2025","600000","23-Aug-2025"
"56","Normal/Others","WS/MP204/2025-2026/210200-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of C.C. road from the house of Mr. Mamchand to the house of Mr. Brijpal in village Mohammadpur Panda, Block Roorkee, District Haridwar","18-Jun-2025","1200000","23-Aug-2025"
"57","Normal/Others","WS/MP204/2025-2026/210203-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of remaining work of road construction by Interlocking tiles from Main road to the farm of Shri Bighan Singh Saini in village Munda kheda Kalan, Block Laksar, District Haridwar","18-Jun-2025","150000","23-Jul-2025"
