"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1751","Normal/Others","WS/MP198/2023-2024/7918-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?????? ?????? ???????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1752","Normal/Others","WS/MP198/2023-2024/7917-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?????? ??????? ?????? ???????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1753","Normal/Others","WS/MP198/2023-2024/7916-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ???????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1754","Normal/Others","WS/MP198/2023-2024/7915-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??? ?????? ???????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1755","Normal/Others","WS/MP198/2023-2024/7914-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?????? ?????? ???????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1756","Normal/Others","WS/MP198/2023-2024/7927-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?????? ?????? ???????? ??? ????????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1757","Normal/Others","WS/MP198/2023-2024/7926-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ?????? ?????? ??????? ??? ??????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1758","Normal/Others","WS/MP198/2023-2024/7925-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????? ?????? ??????? ??? ??????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1759","Normal/Others","WS/MP198/2023-2024/7924-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??????? ?????? ??????? ??? ????? ????? ?? ?? ??????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1760","Normal/Others","WS/MP198/2023-2024/7923-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???? ?????? ??????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1761","Normal/Others","WS/MP198/2023-2024/7922-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???? ?????? ??????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1762","Normal/Others","WS/MP198/2023-2024/7921-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??????? ?????? ??????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1763","Normal/Others","WS/MP198/2023-2024/7920-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??????? ?????? ??????? ??? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1764","Normal/Others","WS/MP198/2023-2024/7939-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ????? ??? ????????? ????? ?? ?????? ???????? ????? ?? ??? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
