"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"652","Normal/Others","WS/MP18304/2026-2027/290015-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of link road sampark marg main road maredi to plastic waste unit maredi dev. Block Chamba","29-Jun-2026","300000","18-Jul-2026"
"653","Normal/Others","WS/MP18304/2026-2027/291000-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road GPS Sweera to Jumari","01-Jul-2026","300000","22-Aug-2026"
"654","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road Main Road Bangbei to Dhamgran","14-Aug-2026","200000","NA"
"655","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pacca path Village Dhanei to Village bhrathen","14-Aug-2026","200000","NA"
"656","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pacca path Behi 2nd GP Authluin","20-Aug-2026","200000","NA"
"657","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road Kundeli to Ghuwali Part-II   Executive agency DRDA","24-Aug-2026","150000","NA"
"658","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction Ambulance Road Nallah to Bharmota 1","21-Jul-2026","300000","NA"
"659","Normal/Others","WS/MP18304/2026-2027/297854-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of retaining walls along with Road at Village khalau","21-Jul-2026","100000","22-Aug-2026"
"660","Normal/Others","WS/MP18304/2025-2026/203127-Providing drains and gutters for public drainage","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Drain Nali Sock pit near panchayat ghar","24-May-2025","200000","07-Jul-2025"
"661","Normal/Others","WS/MP18304/2025-2026/225788-Construction of public toilets and bathrooms","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of public toilet at Guwad","25-Aug-2025","300000","04-Oct-2025"
"662","Normal/Others","WS/MP18304/2024-2025/157342-Construction of public irrigation facilities","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Public irrigation facilities","08-Dec-2024","100000","18-Feb-2025"
"663","Normal/Others","WS/MP18304/2024-2025/135467-Providing night soil collection and disposal systems","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Soil Conservation Work Rundega G P Karian Dev. Block Mehla Distt. Chamba (HP)","13-Aug-2024","99980","21-Oct-2024"
"664","Repair and Renovation","WS/MP18304/2024-2025/135543-Providing supply pipelines for drinking water","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Repair of Shiv Temple at Lothal G P Lothal Dev. Block Mehla Distt. Chamba (HP)","13-Aug-2024","200000","13-Sep-2024"
"665","Normal/Others","WS/MP18304/2024-2025/138652-Providing supply pipelines for drinking water","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of  Irrigation Tank With Pipeline Chandidhar nala to paneli (Dandeta) G.P. Kilod Development Block Salooni  Distt. Chamba (HP)","03-Sep-2024","300000","14-Oct-2024"
"666","Normal/Others","NA-Providing supply pipelines for drinking water","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Gorja Panihar at Village NainiExecutive agency DRDA","27-Aug-2026","150000","NA"
"667","Normal/Others","WS/MP18304/2025-2026/156158-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Purchase of wheel chairs and Stretchers","01-Dec-2024","300000","19-Mar-2026"
"668","Normal/Others","WS/MP18304/2025-2026/156159-Purchase of hospital equipment","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Purchase of hospital equipment","01-Dec-2024","150000","19-Mar-2026"
"669","Normal/Others","WS/MP18304/2026-2027/282580-Purchase of ambulances (Four, three and two wheelers)","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Purchase of ambulance four wheeler model mahindra bolero neo plus ambulance executive  agency po drda","21-May-2026","1400000","18-Jul-2026"
"670","Normal/Others","WS/MP18304/2026-2027/196122-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Protection work With Angel Jala Play Ground Bagda Chakhla","02-May-2025","150000","01-Apr-2026"
"671","Normal/Others","WS/MP18304/2025-2026/196126-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Play Ground at GPS Kunda Dhar-1","02-May-2025","150000","07-Jul-2025"
"672","Normal/Others","WS/MP18304/2025-2026/196237-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Play Ground Safety Wall","03-May-2025","300000","07-Jul-2025"
"673","Normal/Others","WS/MP18304/2025-2026/196247-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Completion of Development of playfields and sports ground at mahila mandal sonthly","03-May-2025","300000","19-Aug-2025"
"674","Normal/Others","WS/MP18304/2025-2026/196429-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Fencing at Play Ground GSSS Kiyani","03-May-2025","200000","13-Jun-2025"
"675","Normal/Others","NA-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of playground at govt. Primary school dullhar  gp jhullara Dev. block Chamba","01-Jul-2026","300000","NA"
"676","Repair and Renovation","WS/MP18304/2024-2025/135482-Construction of rooms and halls in school and colleges","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Repair of Primary School at Rajera G P Rajera Dev. Block Mehla Distt. Chamba (HP)","13-Aug-2024","100000","26-Sep-2024"
"677","Normal/Others","WS/MP18304/2024-2025/157333-Construction of rooms and halls in school and colleges","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Rooms","08-Dec-2024","300000","21-Jan-2025"
"678","Normal/Others","WS/MP18304/2024-2025/157366-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Development of Play Ground","08-Dec-2024","100000","12-Mar-2025"
"679","Normal/Others","WS/MP18304/2024-2025/146815-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Development of playground","13-Oct-2024","150000","18-Feb-2025"
"680","Normal/Others","WS/MP18304/2024-2025/146817-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Development of playground","13-Oct-2024","200000","19-Nov-2024"
"681","Normal/Others","WS/MP18304/2024-2025/146827-Development of playground","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction work of Development of playground","13-Oct-2024","200000","10-Feb-2025"
"682","Normal/Others","WS/MP18304/2025-2026/213791-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Protection Work Jeep Nala Road Kuphara","01-Jul-2025","100000","18-Aug-2025"
"683","Normal/Others","NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction of public litigation shed and toilets outside sdm court complex tissa at bhanjraru","16-Feb-2026","200000","NA"
