"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13524","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jul-2024","GP Singadhar","Payment Success","150000"
"12","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13524","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-Oct-2024","GP Singadhar","Payment Success","150000"
"13","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP078/2024-2025/13532","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Mar-2025","GP Kalzar Matiyana","Payment Success","150000"
"14","Himachal Pradesh","Construction of culverts and bridges","WS/MP078/2023-2024/13534","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","300000"
"15","Himachal Pradesh","Lighting of public spaces","WS/MP078/2023-2024/13573","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Feb-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","900000"
"16","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13575","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","MPLAS RS BDO BIJHARI","Payment Success","500000"
"17","Himachal Pradesh","Installing hand pumps","WS/MP078/2023-2024/13576","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","MPLAS RS BDO BIJHARI","Payment Success","300000"
"18","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13577","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","100000"
"19","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13578","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Jan-2024","BDO Bamson MPLADS RS","Payment Success","103203"
"20","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13579","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","10-Jan-2024","BDO Hamirpur RS","Payment Success","100000"
"21","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP078/2023-2024/13581","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Jan-2024","BDO Bamson MPLADS RS","Payment Success","100000"
"22","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13582","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Dec-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","100000"
"23","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13585","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","04-Nov-2024","BDO MPLAD Lok Sabha and Rajya Sabha","Payment Success","100000"
"24","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2023-2024/13589","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Jan-2024","Block Development Officer","Payment Success","500000"
