"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"44","Normal/Others","WS/MP18382/2025-2026/254269-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","11-May-2026","680007"
"45","Normal/Others","WS/MP18382/2025-2026/255905-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","12-May-2026","680245"
"46","Normal/Others","WS/MP18382/2025-2026/254273-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","12-May-2026","680236"
"47","Normal/Others","WS/MP18382/2025-2026/254272-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","12-May-2026","680236"
"48","Normal/Others","WS/MP18382/2025-2026/255907-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","12-May-2026","680245"
"49","Normal/Others","WS/MP18382/2025-2026/255906-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","14-May-2026","680245"
"50","Normal/Others","WS/MP18382/2026-2027/255899-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","22-Aug-2026","680245"
"51","Normal/Others","WS/MP18382/2026-2027/255898-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","22-Aug-2026","680245"
"52","Normal/Others","WS/MP18382/2026-2027/255897-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","22-Aug-2026","680245"
"53","Normal/Others","WS/MP18382/2026-2027/255896-Development of public parks","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar street lights 20 nos","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","17-Aug-2026","680007"
"54","Trust and Society","WS/MP18383/2024-2025/161847-Setting up public non-conventional energy plants","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Set up a Grid connected Roof top solar Power Plant ( 30 KWP) at Ramkrishna Math Bolpur","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","26-Jun-2025","1350000"
"55","Normal/Others","WS/MP18383/2025-2026/177016-Setting up of laboratories","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Financial Package For Classroom and Labrotary Furniture at Banpura Taraknath High School(H.S.) under development block Sankrail,PO-Banpura,Jhargram,West Bengal-721143","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","N/A","14-Oct-2025","500000"
"56","Normal/Others","WS/MP18383/2025-2026/177014-Purchase of furniture and fixtures for educational purposes","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Financial Package For Classroom and Labrotary Furniture at Laudaha V.A.S.T. Vidyapith (H.S.) under development block Sankrail,PO-Laudaha,Jhargram,West Bengal-721135","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2026","500000"
"57","Normal/Others","WS/MP18383/2025-2026/177017-Construction of rooms and halls in school and colleges","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Construction of 4 Class room at Saria Tribal High School,PO-Saria under development block Gopiballavpur-I,Jhargram,West Bengal-721506","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2026","3000000"
"58","Normal/Others","WS/MP18383/2025-2026/177013-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Construction of Gymnasium Hall for various indoor games and physical training in CONTAI TOWN R.C. VIDYAPITH at Purba Medinipur,Block-Contai-I,PO-Contai,West Bengal-721401","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","27-Feb-2026","2412150"
"59","Repair and Renovation","WS/MP18383/2025-2026/164706-Construction of rooms and halls in school and colleges","West Bengal","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Construction of ACRS, boundary wall and repairing of Garadhul High School (H.S),P.O-Dharmadanga under Development block Gazole , pin-732124","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","13-May-2026","2991321"
"60","Normal/Others","WS/MP18383/2025-2026/224698-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Construction of PUCCA Drain and Road from Ajoy Niyogi to H.O. Pranab Kumar Das at Rabindra Pally Bhanga Para in Ward no-29 Under English Bazar Municipality, Malda, West Bengal.","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","28-Mar-2026","997849"
"61","Normal/Others","WS/MP18383/2025-2026/215933-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Construction of  Hall rooms at Hetampur Raj Girls High School,PO- Hetampur Raj Bati, Dist-Birbhum, Pin-731124","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","27-Jul-2026","1198242"
"62","Normal/Others","WS/MP18383/2026-2027/241004-Purchase of smart boards, visual display units and projectors","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Construction of Smart Class Room including Beautification Work at Rajnagar Junior Girls High School, Village- Rajnagar, P.O- Chetua Rajnagar, Rajnagar Gram Panchayat,Daspur-I Block","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2026","596332"
"63","Normal/Others","WS/MP18383/2025-2026/240989-Purchase of smart boards, visual display units and projectors","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Construction of Smart Class Room including Beautification Work at Keshiary High School(H.S), P.O.- Keshiary, Paschim Medinipur,Keshiary-I GP, Keshiary Block.","Shri Samik Bhattacharya (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2026","596332"
"64","Normal/Others","WS/MP217/2024-2025/158718-Construction of footpaths and pedestrian ways","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","BEAUTIFICATION OF BIDHAN SARANI FOOTPATH (PHASE-II) IN FRONT OF SWAMI VIVEKANANDA'S ANCESTRAL HOUSE IN BOROUGH- IV","Shri Mohammed Nadimul Haque (2024-30) (NaN-NaN)","Elected MP","Images","10-Feb-2026","1096933"
"Grand Total"," "," "," "," "," "," "," "," "," ","6,76,94,354"
