"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"632","Normal/Others","WS/MP840/2025-2026/273570-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction  of CC roadfrom Saagi chiranjeeviraju site to Saagi satyanarayanaraju Varma H","11-Mar-2026","16-Mar-2026","450000","Sanction"
"633","Normal/Others","WS/MP840/2025-2026/273572-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of CC Road from Saagi Ramanayya Raju H  to Saagi Venkata subbaraju H","11-Mar-2026","16-Mar-2026","280000","Sanction"
"634","Normal/Others","WS/MP840/2025-2026/273573-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Returning wall to bridge","11-Mar-2026","16-Mar-2026","210000","Sanction"
"635","Normal/Others","WS/MP840/2025-2026/244850-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of CC road from Ushannagoud plot to Telugu Balaiah plot in katrevepally","30-Oct-2025","17-Jan-2026","500000","Sanction"
"636","Normal/Others","WS/MP840/2025-2026/244851-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Laying of CC road from Oora bavi to Ushannagoud plot in Katrevpally","30-Oct-2025","17-Jan-2026","500000","Sanction"
"637","Normal/Others","WS/MP840/2025-2026/215492-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 2km to 2.250 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"638","Normal/Others","WS/MP840/2025-2026/215495-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 2.250 to 2.500 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"639","Normal/Others","WS/MP840/2025-2026/215504-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from Eduluru to karumarthy from 0 to 0.250 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"640","Normal/Others","WS/MP840/2025-2026/215506-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from Eduluru to kurumarthy from 0.250 to 0.500","07-Jul-2025","31-Jul-2025","500000","Sanction"
"641","Normal/Others","WS/MP840/2024-2025/159540-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Roads and Drainage at SC peta main road from river bund ramp to toward panchayat office in vaddiparu","17-Dec-2024","27-Dec-2024","4463588","Physical Inspection"
