"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"230","Normal/Others","WS/MP101/2025-2026/90217-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Rennovation of Crescent College Road in Madayi Grama Panchayat","23-Sep-2024","04-Aug-2025","887575","Physical Inspection"
"231","Normal/Others","WS/MP099/2024-2025/101381-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Koonampalla Kurichya Colony Ring Road, Kottiyoor Grama Panchayat, Kannur District (S.T)","12-Feb-2024","11-Jun-2024","1872960","Physical Inspection"
"232","Normal/Others","WS/MP099/2024-2025/101413-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of K.P.J Junction – Sanjo Nagar Road (Mampallam),  Naduvil Grama Panchayat, Kannur District","12-Feb-2024","07-Sep-2024","854453","Physical Inspection"
"233","Normal/Others","WS/MP099/2023-2024/101459-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Kolikkadavu-Valluva Colony-Chattikkari Palam approach Road, Payam Grama Panchayat, Kannur District [50% S.C Fund + 50% General Fund from MPLADS Fund]","12-Feb-2024","13-Mar-2024","1488196","Physical Inspection"
"234","Trust and Society","WS/MP102/2024-2025/147349-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of building - Thiruvali Pain & Palliative Care Association, Thiruvali Grama Panchayath","15-Oct-2024","20-Nov-2024","737410","Physical Inspection"
"235","Normal/Others","WS/MP101/2025-2026/185996-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of Padiyur Primary Health Sub Centre","24-Mar-2025","22-May-2025","4620000","Physical Inspection"
"236","Normal/Others","WS/MP102/2025-2026/223205-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Establishment of physiotherapy Unit at CHC, Chungathara","29-Jul-2025","14-Jan-2026","2499452","Physical Inspection"
"237","Normal/Others","WS/MP102/2025-2026/229641-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of CHC, Varapuzha Phase 1","27-Aug-2025","23-Sep-2025","10000000","Sanction"
"238","Normal/Others","WS/MP096/2024-2025/132372-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat","11-Jun-2024","08-Jul-2024","367434","Physical Inspection"
"239","Normal/Others","WS/MP096/2024-2025/132532-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of PWD Mundappalam  Edayangad road or pathway ward No 08 Kondotty Municipality","14-Jun-2024","10-Sep-2024","228870","Physical Inspection"
