"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"829","Normal/Others","WS/MP102/2025-2026/223590-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Athani - Pothusmashanam Road, Wandoor Grama Panchayath","31-Jul-2025","798800","14-Jan-2026"
"830","Normal/Others","WS/MP102/2025-2026/223591-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Kandamangalam - Melekunnu Road, Thiruvali Grama Panchayath","31-Jul-2025","528176","14-Jan-2026"
"831","Normal/Others","WS/MP102/2025-2026/223592-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Parasseri - Oothalakottil Vijayan Road, Kalikavu Grama Panchayath","31-Jul-2025","500000","16-Jan-2026"
"832","Normal/Others","WS/MP102/2025-2026/223593-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Vadapuram - Palaparambu - UP School Road, Mampad Grama Panchayath","31-Jul-2025","500000","06-Mar-2026"
"833","Normal/Others","WS/MP102/2025-2026/223594-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Renovation of Kattumunda LP School - Nagar Road (Interlock), Mampad Grama Panchayath","31-Jul-2025","810168","14-Jan-2026"
"834","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","Kudukkil -Kolathingalkandi-Thekkechalil road concreting","06-Feb-2026","530000","NA"
"835","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Footbath and Side protection at Neelithodi Nagar, Ward No.07, Chelembra Panchayat","19-Feb-2026","6000000","NA"
"836","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Vadakkekkad road or pathway, Ward No.12, Tirurangadi Municipality","02-Mar-2026","2000000","NA"
"837","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Panakkad Ground Palam road or pathway, Ward No.37, Malappuram Municipality","02-Mar-2026","1500000","NA"
"838","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Side protection at Karamuttam SC Nagar, Ward No.19, Areekode Panchayat","19-Feb-2026","1000000","NA"
"839","Normal/Others","WS/MP096/2025-2026/269646-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Plywood Palanthodi road or pathway, Ward No.5, Manjeri Municipality","19-Feb-2026","500000","16-Mar-2026"
"840","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kondramkuth - Cholakkal - Chembramkuth road or pathway, Ward No.04, Kondotty Municipality","19-Feb-2026","700000","NA"
"841","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of retain wall Janathapadi Padikunnu PVS School Pattarakka link road or pathway, Ward no. 24, Nilambur Municipality","21-Jan-2026","2800000","NA"
"842","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Vattappara Thannippara paramb road or pathway, Ward no 45, Manjeri Municipality","23-Jun-2026","500000","NA"
"843","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Myladi school kunnu road or pathway, Ward No.10, Chaliyar Panchayat","23-Jun-2026","1000000","NA"
"844","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Thekkumbad Vayanashala Pathiyatkund road/pathway, Anakkayam Panchayat","24-Jun-2026","300000","NA"
"845","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","Construction of Road at Veluthedath Cholayil, Kuzhimanna Panchayat  Ward 12  ,Areacode Block Panchayat","27-Jun-2026","500000","NA"
"846","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chemmala Ummerhaji road/pathway, Ward No.11, Nilambur Municipality","24-Jun-2026","500000","NA"
"847","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Pullipada - Assipadi road or pathway, Ward No.12, Edakkara Panchayat","24-Jun-2026","500000","NA"
"848","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Side protection of Christian church -Lulumall colony road or pathway, Ward No.19, Pothukkal Panchayat","24-Jun-2026","1500000","NA"
"849","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kuttikunn link road/pathway, Ward No.21, Nilambur Municipality","24-Jun-2026","800000","NA"
"850","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction side protection for Aruvakode Kuttikkadav road, Ward no. 36, Nilambur Municipality","24-Jun-2026","800000","NA"
"851","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kunnumpuram SC Nagar road/ pathway, Ward No.7, Mampad Panchayat","24-Jun-2026","500000","NA"
"852","Normal/Others","WS/MP096/2025-2026/240461-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Parakkapadam  Paramala road or pathway, Ward No.15, Amarambalam Panchayat","07-Oct-2025","250000","14-Jan-2026"
"853","Normal/Others","WS/MP096/2025-2026/240462-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Ellumparamb  Ponamkallu road or pathway, Ward No.06, Amarambalam Panchayat","07-Oct-2025","250000","14-Jan-2026"
"854","Normal/Others","WS/MP096/2026-2027/240463-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Shanipadi road or pathway, Ward No.13, Amarambalam Panchayat","07-Oct-2025","200000","23-May-2026"
"855","Normal/Others","WS/MP096/2025-2026/240465-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Muthukad Arjundas Smaraka road or pathway, Ward no.21, Nilambur Municipality","07-Oct-2025","420000","23-Feb-2026"
"856","Repair and Renovation","WS/MP096/2025-2026/238396-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kaliyeparamb  Cholakkal road  or pathway, Ward no.12, Pookkottur panchayat","27-Sep-2025","473538","15-Jan-2026"
"857","Normal/Others","WS/MP096/2025-2026/219360-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Thalipadam  Kotamala road or pathway Ward No 03 Moothedam Panchayat","17-Jul-2025","1000000","14-Jan-2026"
"858","Normal/Others","WS/MP096/2025-2026/219361-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Poongalam kai  Kotamala road or pathway Ward No 15 Moothedam Panchayat","17-Jul-2025","1000000","14-Jan-2026"
"859","Normal/Others","WS/MP096/2025-2026/219368-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Vadakkan Paloor Karipankunnu road or pathway Pulamanthole Panchayat","17-Jul-2025","500000","14-Jan-2026"
"860","Normal/Others","WS/MP096/2025-2026/219369-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Parakkadavu quarry road or pathway Ward No 15 Pulamanthole Panchayat","17-Jul-2025","500000","14-Jan-2026"
