"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136760","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","221865"
"12","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136761","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","412373"
"13","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136761","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","337000"
"14","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136762","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179405"
"15","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136762","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","120105"
"16","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136763","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","277538"
"17","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136763","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","221865"
"18","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136883","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","471606"
"19","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136883","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","276625"
"20","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136884","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179405"
