"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"54","Normal/Others","WS/MP465/2025-2026/195989-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat Sanni me Nanhakke paasi ke ghar se Sushil Mishra ke ghar tak interlocking karya.","02-May-2025","1568000","15-Jul-2025"
"55","Normal/Others","WS/MP465/2025-2026/195990-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","gram panchayat Saraiya me Gaura nishad ke ghar se Rajaram Yadav ke ghar tak interlocking karya","02-May-2025","1476000","15-Jul-2025"
"56","Normal/Others","WS/MP465/2025-2026/195992-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Bicchiya ke gram Etauli Ashok Shukla ke ghar se Rampal nai ke ghar tak interlocking karya.","02-May-2025","1037000","15-Jul-2025"
"57","Normal/Others","WS/MP465/2024-2025/168657-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from asphalt road to Budhilal Lodhi house via Ramesh Lodhi house in Abanpur village of Hasanganj Gram Panchayat Nevajkheda.","10-Feb-2025","1012000","26-Mar-2025"
"58","Normal/Others","WS/MP465/2024-2025/168659-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from Kashiram asphalt road to CC road via Deepu Lodhi house in Barbat Gram Panchayat of Sikanderpur Sarosi, the city of hopes.","10-Feb-2025","2335000","26-Mar-2025"
"59","Normal/Others","WS/MP465/2025-2026/168660-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlinking construction work from asphalt road to Arjun Lodhi house in Kedarkheda village of Rampur Lone Gram Panchayat of Sikanderpur.","10-Feb-2025","1403000","25-Jun-2025"
"60","Normal/Others","WS/MP465/2024-2025/174834-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Gram Pariyar Damar Road to Shivkant house in Block Sikandarpur Sarosi Village Pariyar.","10-Feb-2025","927000","26-Mar-2025"
"61","Normal/Others","WS/MP465/2024-2025/174843-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking construction work from Mewalal house in village Salehpur Purva Ugu Unnao to front Rajesh house in Fatehpur Chaurasi.","10-Feb-2025","550000","26-Mar-2025"
"62","Normal/Others","WS/MP465/2024-2025/174845-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Vikas Khand Bighapur Gram Panchayat karmi construction work of interlocking and covered drain on the track on Dariyabad Abadi Bhag Road.","10-Feb-2025","700000","26-Mar-2025"
"63","Normal/Others","WS/MP465/2024-2025/174846-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of interlocking from Ramdas house to Sharda canal connecting road in Gram Panchayat Matlabpur village Kandharkheda.","10-Feb-2025","1400000","26-Mar-2025"
"64","Normal/Others","WS/MP465/2024-2025/174847-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","CC work from Nagendra Trivedi house to Jitendra Singh Parihar house in ward number 18 Gadankheda.","10-Feb-2025","656000","26-Mar-2025"
"65","Normal/Others","WS/MP465/2025-2026/174848-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Interlocking work from Ram Naresh house to Lallu house in Majra Bhagnakheda of Gram Panchayat Mavaiya of development block Sumerpur.","10-Feb-2025","1161000","13-Jun-2025"
"66","Normal/Others","WS/MP465/2024-2025/174849-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","CC length 60 meters from main road to Tiwari ji chakki in Gadheva Karmi.","10-Feb-2025","457000","26-Mar-2025"
"67","Normal/Others","WS/MP465/2024-2025/137488-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ??? ??? ????? ?????? ???? ????? ?? ???? ????????? ??? ???? ??? ?? ???????? ?? ?? ?? ?????????? ?????","28-Aug-2024","1097375","21-Nov-2024"
"68","Normal/Others","WS/MP465/2024-2025/137489-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","????? ??? ????????? ?????? ??? ????? ?????? ??????? ???? ??? ????? ???? ?? ???????? ????? ?? ?????????? ?????","28-Aug-2024","2145797","21-Nov-2024"
