"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"200","Normal/Others","WS/MP071/2025-2026/162674-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Netaji Path at Lalganesh, Ward No. 21,Guwahati","31-Dec-2024","22-Apr-2025","2700000","Vendor Identification"
"201","Normal/Others","WS/MP831/2025-2026/165167-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from organg Basumatary House to Sanjib Basumatary House under Birhangaon VCDC, Sidli Dev.Block.","13-Jan-2025","12-Aug-2025","500000","Vendor Identification"
"202","Normal/Others","WS/MP831/2025-2026/165168-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Danswrang daimary house to Jumblao Goyari house under sidli Dev. Block, Chirang.","13-Jan-2025","12-Aug-2025","500000","Vendor Identification"
"203","Normal/Others","WS/MP831/2025-2026/165186-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Soni Mandir to Suraj Mandal House at ward No.3, Gossaigaon Municipality.","13-Jan-2025","23-May-2025","500000","Vendor Identification"
"204","Normal/Others","WS/MP831/2025-2026/217298-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Dogarpara to Dwisingpuri link road ( Komla kt. bnrahma house to Krishna Brahma house.","12-Jul-2025","05-Mar-2026","1000000","Vendor Identification"
"205","Normal/Others","WS/MP831/2025-2026/217305-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of U.N. Brahma road at Bathoupuri Nwgwr, bylane no.3 under w no. 23, GMC .","12-Jul-2025","22-Dec-2025","2500000","Vendor Identification"
"206","Normal/Others","WS/MP831/2025-2026/217309-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road from Uzanbazar ABSU to Hasraobari Village under Birhangaon VCDC.","12-Jul-2025","05-Feb-2026","1000000","Vendor Identification"
"207","Normal/Others","WS/MP831/2026-2027/217516-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road from Digdar Narzary house to Saiten Brahma house via Nabin Narzary House at North Rowmari under Rowmari VCDC.","12-Jul-2025","18-Jun-2026","1000000","Vendor Identification"
"208","Normal/Others","WS/MP831/2025-2026/218036-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Kakragaon Village road from Basugaon PWD road to Bidhyapur PWD road under Tilokgaon VCDC.","14-Jul-2025","13-Mar-2026","500000","Vendor Identification"
"209","Normal/Others","WS/MP071/2025-2026/223155-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Buda Chuk Path, Dhuafodia Gaon, Baghmuria","31-Jul-2025","25-Nov-2025","500000","Vendor Identification"
"210","Normal/Others","WS/MP071/2025-2026/223158-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Paver Block at Jonaki Nagar Path, Kamalabaria Gaon","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"211","Normal/Others","WS/MP071/2025-2026/223186-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Dhekargarha Sarucharal Khat Sanjogi Path, Dhakorgoraha Komar Gaon","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"212","Normal/Others","WS/MP071/2025-2026/223189-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Sarberwar Gaonbura Path, Puranimati Satra Gaon near Panichakuwa Borpukhuri to National Highway","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"213","Normal/Others","WS/MP071/2025-2026/223190-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Sahpuria Gaon Namghar Honjugi Path, Porbotia Gaon","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"214","Normal/Others","WS/MP071/2025-2026/223192-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Turi Chuk-Chakalani  Pathar Path, Chakalani Pathar","31-Jul-2025","25-Nov-2025","650000","Vendor Identification"
"215","Normal/Others","WS/MP071/2025-2026/223193-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Kalbari Gaonburha Path, Kalbari","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"216","Normal/Others","WS/MP071/2025-2026/223220-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Pachim Disoi Nagar Path, Rajahawli","31-Jul-2025","10-Feb-2026","500000","Vendor Identification"
"217","Normal/Others","WS/MP071/2025-2026/223221-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Rajotia Neog Chuk Path, Rajahawli","31-Jul-2025","10-Feb-2026","500000","Vendor Identification"
"218","Normal/Others","WS/MP071/2025-2026/223224-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Chikari Chuk Upa Path, Potia Gaon","31-Jul-2025","10-Feb-2026","250000","Work partially Completed"
"219","Normal/Others","WS/MP071/2025-2026/223315-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Paver Block Road at Swaraj Path, Bohotia Gaon","31-Jul-2025","25-Nov-2025","700000","Vendor Identification"
"220","Normal/Others","WS/MP071/2025-2026/223319-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Meleng Gayan Gaon Bhakat Chuk Path, Meteli","31-Jul-2025","25-Nov-2025","1150000","Physical Inspection"
"221","Normal/Others","WS/MP831/2026-2027/226362-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of roads at Dalhapara village under Roumary VCDC.","11-Aug-2025","18-Jun-2026","1000000","Vendor Identification"
"222","Normal/Others","WS/MP071/2026-2027/231110-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Teli Path (Notun Mati), Satriya Gaon","03-Sep-2025","27-Aug-2026","600000","Sanction"
"223","Normal/Others","WS/MP073/2025-2026/243476-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Road from B.P.linked Road to Shiva Mandir at Baradi Barpeta LAC","23-Oct-2025","06-Feb-2026","1500000","Vendor Identification"
"224","Normal/Others","WS/MP073/2026-2027/243518-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Hirapara Roadside Drain at Barpeta Town","25-Oct-2025","13-Aug-2026","1000000","Vendor Identification"
"225","Normal/Others","WS/MP18431/2026-2027/249777-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const. of road at bylane no 5, Victoria Path at Dhalboma.","20-Nov-2025","25-Jun-2026","2000000","Vendor Identification"
