"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"40","Normal/Others","WS/MP18412/2025-2026/254631-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing 1 (One) Maruti Suzuki Eeco Ambulance 1.2L for National Law University, Tripura at Narsingarh","17-Dec-2025","886811","18-Dec-2025"
"41","Normal/Others","NA-Purchase of hearse van (Four, three and two wheelers)","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Procurement of a fully equipped Mortuary Van for Kailashahar Municipal Council","07-Jan-2026","1000000","NA"
"42","Normal/Others","NA-Providing drains and gutters for public drainage","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of RCC Drain in the west lane of Gedumia Masjid, starting from the house of Shri Dilip Debnath to the house of Shri Jahar Saha in Deshbandhu Chittaranjan Club area, Ward No. 21, AMC","25-Jun-2026","3500000","NA"
"43","Normal/Others","NA-Construction of public toilets and bathrooms","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Community Toilet Block, Installation of SBDTW & IRP at Jagannath Ballav Sheva Sadan, Madhya Pratapgarh, Agartala","09-Jul-2026","1200000","NA"
"44","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of CC Road with side drain from AA Road to Subrata Majumder house, near Resham Bagan Athletic School under Ward No-9, AMC","10-Feb-2026","600000","NA"
"45","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of road and drainage system from Biplab Ghosh house to Amit Choudhury house and Azad Hind Road from Priya Electric to Jail Road under Ward No 24, Agartala Municipal Corporation","10-Feb-2026","2100000","NA"
"46","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Tripura","North Tripura(DISTRICT MAGISTRATE and COLLECTOR NORTH TRIPURA DISTRICT_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of RCC/Paver Block approach road & pucca drain leading to car wash centre near Iron Bridge of Sonarerbasa, Bhagyapur G.P under Kalachara Block, North Tripura","25-Jun-2026","800000","NA"
"47","Normal/Others","WS/MP18412/2026-2027/257765-Creation of new ponds","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Development of community water harvesting pond, Routhkalla GP, Bishalgarh R.D.Block, Sepahijala District.","07-Jan-2026","3500000","10-Jul-2026"
"48","Normal/Others","WS/MP18412/2025-2026/241063- Providing sports equipment, except consumable items","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing of Hand Roller and Grass Cutter machine for the cricket ground of Modern Club, Shibnagar, Agartala.","24-Oct-2025","499050","09-Mar-2026"
"49","Normal/Others","WS/MP18412/2026-2027/241068-Construction of buildings for multi-gym","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Providing Modern GYM equipments and GYM facilities in the premises of Vivekananda Byamaghar, Agartala","24-Oct-2025","1500000","07-Jul-2026"
"50","Normal/Others","WS/MP18412/2025-2026/241082-Construction of stadiums","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Stadium in Boxanagar Play Ground under Sepahijala District","24-Oct-2025","2500000","09-Jan-2026"
"51","Normal/Others","NA-Installation of multi-gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of an open GYM in AMC Ward office premises under  Ward No-31, AMC","10-Feb-2026","1000000","NA"
"52","Normal/Others","NA-Installation of multi-gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Establishment of  Modern GYM with equipments in the premises of Modern Cricket Academy, Shibnagar College Road, Ward No. 24, AMC","25-Jun-2026","1500000","NA"
"53","Normal/Others","WS/MP18412/2026-2027/243599-Installation of fixed garden gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of open Gymnasium at Kalkalia Chowmuhani  under Mohanpur R.D.Block area of Mohanpur  A.C  in West Tripura district.","24-Oct-2025","1000000","27-Jul-2026"
"54","Normal/Others","WS/MP18412/2026-2027/243600-Installation of fixed garden gym equipment","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of open Gymnasium at Birmohan Village under Lefunga Block area of Mohanpur A.C in West Tripura district.","24-Oct-2025","1000000","14-Jul-2026"
"55","Normal/Others","WS/MP18412/2025-2026/210477-Development of public parks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Creation of Green Park along with erection of Fiber Statue of Maharaja Bir Bikram Kishore Manikya Bahadur with suitable base in the premises of BBMC, Agartala.","19-Jun-2025","999992","29-Oct-2025"
"56","Repair and Renovation","NA-Development of public parks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Cafeteria development work at Rabindra Kanan Amusement Park, Agartala under Horticulture Directorate, Govt. of Tripura.","07-Jan-2026","2100000","NA"
"57","Normal/Others","NA-Development of public parks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Water fountain and electrification work at Rabindra Kanan Amusement Park, Agartala under Horticulture Directorate, Govt. of Tripura.","07-Jan-2026","900000","NA"
"58","Normal/Others","WS/MP18412/2026-2027/267500-Development of playfields and sports grounds","Tripura","Sepahijala(DISTRICT MAGISTRATE and COLLECTOR SIPAHIJALA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Volleyball ground in Ward No-1 of Melaghar M.C","10-Feb-2026","1700000","31-Jul-2026"
"Grand Total"," "," "," "," "," "," "," "," "," ","8,46,49,344"
