"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"302","Normal/Others","NA-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Yoga Centre at Tilapara L.P.School premise under Dangtal VCDC.","09-Jul-2026","3000000","NA"
"303","Normal/Others","WS/MP831/2025-2026/144908-Construction of boundary walls of existing public and community buildings","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of boundary wall at Bhog Amguri Prakalpa under Amguri VCDC, Kokrajhar.","01-Oct-2024","1500000","06-Aug-2025"
"304","Normal/Others","WS/MP831/2024-2025/132674-Construction of rooms and halls in school and colleges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of additional Class room and Toilet at Duligaon High school under Palashguri VCDC, Debitola Dev.Block, Parbatjhora.","20-Jun-2024","1497997","10-Dec-2024"
"305","Normal/Others","WS/MP831/2024-2025/132612-Construction of boundary walls of existing public and community buildings","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary Wall at Sialmari H.E.School under Silamari VCDC,Dotma Dev.Block","18-Jun-2024","1499261","18-Oct-2024"
"306","Normal/Others","WS/MP831/2024-2025/137476-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of structure on burial/ cremation ground for public convenience at Ramfalbil Shamshan ghat under Ramfalbil VCDC,Kokrajahr","28-Aug-2024","999000","11-Mar-2025"
"307","Normal/Others","WS/MP831/2025-2026/132689-Purchase of books for public libraries/ digitization of library books","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Purchase of books for department of Bodo and Education of Bodoland University, Kokrajhar.","21-Jun-2024","1000000","29-May-2025"
"308","Normal/Others","WS/MP831/2025-2026/145417-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of road at Nayachora p-5 under Aeibhandarani VCDC.","04-Oct-2024","1499451","23-May-2025"
"309","Normal/Others","WS/MP831/2025-2026/165186-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from Soni Mandir to Suraj Mandal House at ward No.3, Gossaigaon Municipality.","13-Jan-2025","500000","23-May-2025"
"310","Normal/Others","NA-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of culvert at Molandubi village near Detchung Brahma house , Boragari VCDC.","13-Jul-2026","800000","NA"
"311","Normal/Others","WS/MP831/2024-2025/132574-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert near Supol Kisku House at Chetantola village under west Maligaon VCDC, Kokrajhar.","17-Jun-2024","997580","05-Dec-2024"
"312","Normal/Others","WS/MP831/2024-2025/132575-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert at Paddy field road to chetantola Village under Maligaon VCDC, kokrajhar.","17-Jun-2024","499135","05-Dec-2024"
"313","Normal/Others","WS/MP831/2024-2025/132578-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert near Mustafa Talukder house at Thuripara village under Devitola VCDC, Parbatjhora.","17-Jun-2024","498272","05-Dec-2024"
"314","Normal/Others","WS/MP831/2024-2025/132579-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert at  Pansri Dwisa, Borjhora pt- ii village under Monglajora VCDC, Parbatjhora.","17-Jun-2024","499538","18-Oct-2024"
"315","Normal/Others","WS/MP831/2024-2025/132580-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert near Rajib's House at Palashguri village under Palashguri VCDC, Parbatjhora.","17-Jun-2024","495955","05-Dec-2024"
"316","Repair and Renovation","WS/MP831/2024-2025/132577-Construction of buildings for sports facilities","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Repairing of Raimona Friends Club at Raimona Village under Raimona VCDC, Gossaigaon.","17-Jun-2024","1498636","18-Oct-2024"
"317","Normal/Others","NA-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert at Jakhilirpar village under Uttar Howly VCDC, Gabardhana Dev. Block, Salbari Sub-Division.","17-Jun-2024","500000","NA"
"318","Normal/Others","WS/MP831/2025-2026/132582-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert at Bathouguri ( Bartari) village under Rufapulli VCDC , Jalah Dev, Block","17-Jun-2024","500000","02-Aug-2025"
"319","Normal/Others","NA-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert at Bagarpara(Bunmaja) village under Pub-Howly VCDC, Jalah Dev.Block, Salbari.","17-Jun-2024","500000","NA"
"320","Normal/Others","WS/MP831/2026-2027/132584-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Bridge at Atiabari Golbil road, Barimaka village  under Silakuti VCDC, Mushalpur , Baksa.","17-Jun-2024","1500000","22-May-2026"
"321","Normal/Others","NA-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Culvert at Barfena Pathar Kalbari under Jalah Dev.Block, Baksa","20-Jun-2024","1000000","NA"
"322","Normal/Others","WS/MP831/2025-2026/132656-Construction of boundary walls of existing public and community buildings","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall at Uttar Salbari L.P. School, Salbari under Salbari VCDC.","20-Jun-2024","1200000","31-Jul-2025"
"323","Normal/Others","WS/MP831/2025-2026/132658-Construction of community centers and community halls","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Constructionn of Anjalu Sanga Community Hall at Laokhata village under Jolagaon VCDC, Jala Dev. Block,Baksa.","20-Jun-2024","1000000","31-Jul-2025"
"324","Normal/Others","WS/MP831/2025-2026/132690-Construction of community centers and community halls","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Bhogpara Brahmapur Mongolian Afad community hall under Bhogpara VCDC.","21-Jun-2024","1000000","18-Nov-2025"
"325","Normal/Others","NA-Construction of community centers and community halls","Assam","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Community hall Near Krishna Madhab Namghar,2 No Dhemagarh,Lamhimpur","08-Jan-2026","300000","NA"
"326","Normal/Others","WS/MP073/2026-2027/258136-Construction of community centers and community halls","Assam","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Community Hall Near 1 No. solmaria Gaon Namghar at Dalhat,Lakhimpur","08-Jan-2026","300000","12-Jun-2026"
"327","Normal/Others","WS/MP073/2026-2027/271902-Construction of community centers and community halls","Assam","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Office Building Cum Community Hall (Phase-II) for Khelmati Club at ward no-14 North Lakhimpur","28-Feb-2026","1000000","17-Jun-2026"
"328","Normal/Others","WS/MP073/2025-2026/248126-Construction of public libraries and reading rooms","Assam","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Public Library of Jeuti Club And Library at North Lakhimpur Town PO- Khelmati","14-Nov-2025","1000000","28-Jan-2026"
