"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"39","Normal/Others","WS/MP834/2026-2027/280121-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","Digging of new borewell at annadanappa Layout, Tavarakere village","11-May-2026","21-Jul-2026","500000","Sanction"
"40","Normal/Others","WS/MP834/2026-2027/280122-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","Digging of new borewell at Kuvempu Nagar, Tavarakere village","11-May-2026","21-Jul-2026","500000","Sanction"
"41","Normal/Others","WS/MP833/2024-2025/16127-Installing community drinking water plants","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","For construction of Road and Box drain at Ward no 08 from Old fish market of Chatra maidana to main road.","04-Sep-2023","20-Feb-2025","1500000","Work Completed"
"42","Normal/Others","WS/MP834/2025-2026/149092-Installing community drinking water plants","Karnataka","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","installation of water treatment plant and construction of building","23-Oct-2024","09-Sep-2025","497659","Physical Inspection"
"43","Normal/Others","WS/MP18296/2025-2026/155196-Installing community drinking water plants","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Drinking Water RO Plant.","26-Nov-2024","02-Mar-2026","720000","Work partially Completed"
"44","Normal/Others","WS/MP18364/2025-2026/190517-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"45","Normal/Others","WS/MP18364/2025-2026/190518-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"46","Normal/Others","WS/MP18364/2025-2026/190520-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"47","Normal/Others","WS/MP18364/2025-2026/190521-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"48","Normal/Others","WS/MP18364/2025-2026/190530-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Work partially Completed"
"49","Normal/Others","WS/MP18364/2025-2026/200401-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Installation of Pure Drinking water unit to government school.","19-May-2025","10-Sep-2025","320000","Sanction"
"50","Normal/Others","WS/MP833/2025-2026/178226-Providing supply pipelines for drinking water","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","To install drinking water pipeline to Halgodu village of Thotadur Village Panchayath Limit Kalasa Tq","28-Feb-2025","30-Jan-2026","1000000","Work partially Completed"
"51","Normal/Others","WS/MP833/2024-2025/16122-Providing drains and gutters for public drainage","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Construction of box drain and deck lab adjacent to LIC office at tarikere town.","04-Sep-2023","21-Jun-2024","600000","Physical Inspection"
"52","Normal/Others","WS/MP084/2024-2025/38001-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","CC Drainage work in Journalist's Layout, Rajanukunte Village, Rajanukunte Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","17-Oct-2023","30-Aug-2024","499065","Physical Inspection"
"53","Normal/Others","WS/MP084/2024-2025/38414-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Banalore North Taluk, Bangalore Urban.","18-Oct-2023","24-Sep-2024","499429","Physical Inspection"
"54","Normal/Others","WS/MP084/2024-2025/38415-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C.Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","18-Oct-2023","24-Sep-2024","499420","Physical Inspection"
"55","Normal/Others","WS/MP084/2024-2025/38467-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","02-Jul-2024","499327","Physical Inspection"
"56","Normal/Others","WS/MP084/2024-2025/38614-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","22-Nov-2024","499400","Physical Inspection"
"57","Normal/Others","WS/MP084/2024-2025/38615-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","22-Nov-2024","491134","Physical Inspection"
"58","Normal/Others","WS/MP084/2024-2025/38616-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","22-Nov-2024","499400","Physical Inspection"
"59","Normal/Others","WS/MP084/2024-2025/38617-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","22-Nov-2024","491134","Physical Inspection"
"60","Normal/Others","WS/MP084/2024-2025/38762-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Concrete drain construction work.","19-Oct-2023","02-Jul-2024","494561","Physical Inspection"
"61","Normal/Others","WS/MP084/2025-2026/39275-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C C Drainage work.","20-Oct-2023","10-Jul-2025","499660","Physical Inspection"
"62","Normal/Others","WS/MP084/2025-2026/39277-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Covering slab installation work for open drainage.","20-Oct-2023","10-Jul-2025","498998","Physical Inspection"
"63","Normal/Others","WS/MP084/2025-2026/39278-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Providing/installation of covering slab for open drainage.","20-Oct-2023","10-Jul-2025","498229","Physical Inspection"
"64","Normal/Others","WS/MP084/2025-2026/39279-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Providing/installation of covering slab for open drainage.","20-Oct-2023","10-Jul-2025","498486","Physical Inspection"
"65","Normal/Others","WS/MP084/2024-2025/39280-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Providing/insatallation of covering slab for open drainage.","20-Oct-2023","10-Jul-2024","500000","Work partially Completed"
"66","Normal/Others","WS/MP084/2024-2025/39347-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","C.C Drainage development work.","21-Oct-2023","10-Jul-2024","500000","Work partially Completed"
"67","Normal/Others","WS/MP833/2024-2025/74906-Providing drains and gutters for public drainage","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Chikmagalur/ SCP/ Construction of Water Drain at Ukkada village of ID Peeta village","04-Jan-2024","06-Jul-2024","1500000","Sanction"
