"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"63","Normal/Others","WS/MP18296/2025-2026/199796-Construction of culverts and bridges","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Construction of culvert or bridge connecting link road from Khalid Nagar to Reddy Layout.","15-May-2025","3200000","13-Sep-2025"
"64","Normal/Others","WS/MP18296/2025-2026/272702-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs) at District Stadium Ballari (Beside lake)","06-Mar-2026","560000","16-Mar-2026"
"65","Normal/Others","WS/MP18296/2025-2026/272706-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs) near Bus Stop Backside District Stadium Ballari.","06-Mar-2026","560000","16-Mar-2026"
"66","Normal/Others","WS/MP18296/2025-2026/155154-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (16 Mtrs)","26-Nov-2024","720000","02-Mar-2026"
"67","Normal/Others","WS/MP18296/2025-2026/155158-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (16 Mtrs)","26-Nov-2024","720000","02-Mar-2026"
"68","Normal/Others","WS/MP18296/2025-2026/155163-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs)","26-Nov-2024","560000","02-Mar-2026"
"69","Normal/Others","WS/MP18296/2025-2026/155165-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs)","26-Nov-2024","560000","02-Mar-2026"
"70","Normal/Others","WS/MP18296/2025-2026/155171-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs)","26-Nov-2024","560000","02-Mar-2026"
"71","Normal/Others","WS/MP18296/2025-2026/155176-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (16 Mtrs)","26-Nov-2024","720000","02-Mar-2026"
"72","Normal/Others","WS/MP18296/2025-2026/155188-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs)","26-Nov-2024","560000","02-Mar-2026"
"73","Normal/Others","WS/MP18296/2025-2026/155193-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast Lights (12.5 Mtrs)","26-Nov-2024","560000","16-Mar-2026"
"74","Normal/Others","NA-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Hi-Mast light at Shanti Dhama Grounds (12.5 Mtrs)","14-Apr-2026","555000","NA"
"75","Normal/Others","NA-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Hi-Mast lights near Ashraya quarters near Golibada Masjid, Ward No. 29, Ballari","14-Apr-2026","555000","NA"
"76","Normal/Others","NA-Lighting of public spaces","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of High Mast lights at at Karnataka Moulana Azad Pubic School near Radio Station Belagallu Road Ballari (12.5 Mtrs)","01-Jul-2026","500000","NA"
"77","Trust and Society","NA-Setting up public non-conventional energy plants","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Rooftop Solar Power Plant and other Electrical Infrastructure at Nama Ratnaiah & Nama Savitramma Dialysis and Physiotherapy Centre, Arya Vysya Association (R), Ballari","01-Jul-2026","3500000","NA"
"78","Normal/Others","WS/MP18296/2024-2025/155197-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Construction of CC Roads at Ward No. 30","26-Nov-2024","10000000","14-Mar-2025"
"79","Normal/Others","WS/MP18296/2025-2026/226590-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Pavers for road connectivity from Karimaremma temple to Old Bypass road at Ward no. 30, Cowl Bazar, Ballari.","12-Aug-2025","2500000","06-Dec-2025"
"80","Normal/Others","WS/MP18296/2025-2026/226598-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Construction of CC Road at Ballari Ward No. 32, Gopalgowda Nagar, 2 Stage Park backside Reddy House to Gulnaz House","12-Aug-2025","500000","06-Dec-2025"
"81","Normal/Others","WS/MP18296/2025-2026/226602-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Construction of CC Road at Ballari Ward No. 32, Gopalgowda Nagar, near 2nd Stage Park Shamiulla House to Hajipeer House.","12-Aug-2025","500000","06-Dec-2025"
"82","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Construction of CC Road and Development work","16-May-2026","800000","NA"
"83","Normal/Others","NA-Providing supply pipelines for drinking water","Karnataka","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","Installation of Pipeline and Borewell at Dr. APJ Abdul Kalam Morarji Desai Girls PU Residential College Allipura","30-Jun-2026","290000","NA"
