"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"513","Normal/Others","WS/MP18364/2025-2026/172295-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
"514","Normal/Others","WS/MP18364/2025-2026/172294-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
"515","Normal/Others","WS/MP18364/2025-2026/173278-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of C.C Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","498408"
"516","Normal/Others","WS/MP18364/2025-2026/173247-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of C.C Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499516"
"517","Normal/Others","WS/MP18364/2025-2026/173245-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of C.C Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499246"
"518","Normal/Others","WS/MP18364/2025-2026/173242-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of C.C Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499246"
"519","Normal/Others","WS/MP18364/2025-2026/172293-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Roads.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","499575"
"520","Repair and Renovation","WS/MP18364/2025-2026/190512-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Repair and Renovation work of Government Higher Primary School.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","12-Jan-2026","350000"
"521","Normal/Others","WS/MP18364/2025-2026/190518-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction and installation of Drinking water plant.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","28-Nov-2025","320000"
"522","Normal/Others","WS/MP18364/2025-2026/190520-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction and installation of Drinking water plant.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","28-Nov-2025","320000"
