"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"51","Normal/Others","WS/MP18300/2025-2026/134662-Construction of common work sheds/ common covered sitting area","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered  Community Chaupal","05-Aug-2024","26-Dec-2025","530000","Sanction"
"52","Normal/Others","WS/MP18300/2024-2025/134663-Construction of common work sheds/ common covered sitting area","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","05-Aug-2024","19-Mar-2025","530000","Work partially Completed"
"53","Normal/Others","WS/MP18300/2024-2025/134664-Construction of common work sheds/ common covered sitting area","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered  Community Chaupal","05-Aug-2024","19-Mar-2025","530000","Work partially Completed"
"54","Normal/Others","WS/MP18300/2024-2025/135850-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","16-Aug-2024","26-Oct-2024","643136","Physical Inspection"
"55","Normal/Others","WS/MP18300/2025-2026/136531-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal Rural","20-Aug-2024","20-Jun-2025","530000","Vendor Identification"
"56","Normal/Others","WS/MP18300/2024-2025/139497-Construction of common work sheds/ common covered sitting area","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","06-Sep-2024","19-Mar-2025","530000","Work Completed"
"57","Normal/Others","WS/MP18300/2024-2025/145389-Construction of common work sheds/ common covered sitting area","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","04-Oct-2024","27-Jan-2025","479427","Physical Inspection"
"58","Normal/Others","WS/MP18300/2024-2025/149665-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (india mark II) at a public place near the house of Mukesh Kumar s/o Late Shyamababu Rai  in village Saidpur (Saidpur Tola) of Ward No.05  of Hidayatpur Saidpur Panchayat.","28-Oct-2024","22-Nov-2024","81920","Physical Inspection"
"59","Normal/Others","WS/MP18300/2025-2026/150064-Construction of common work sheds/ common covered sitting area","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered community chaupal.","30-Oct-2024","25-Apr-2025","529180","Physical Inspection"
"60","Normal/Others","WS/MP18300/2024-2025/151075-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered community chaupal.","06-Nov-2024","04-Jan-2025","526439","Physical Inspection"
