"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"628","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148530","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","26-Apr-2025","ASSISTANT ENGINEER SIKTA","Payment Success","1481607"
"629","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148542","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","05-Feb-2025","ASSISTANT ENGONEER BETTIAH","Payment Success","1490958"
"630","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148544","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","22-Apr-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","595983"
"631","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP052/2024-2025/148549","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Feb-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","596594"
"632","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148726","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","19-Feb-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","596582"
"633","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148728","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","05-Feb-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","597223"
"634","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148729","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","17-Jun-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","589705"
"635","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148730","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","16-Jun-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","590782"
"636","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148731","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","05-Feb-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","595873"
"637","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148732","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","22-Apr-2025","ASSISTANT ENGINEER NARKATIYAGINJ","Payment Success","596398"
"638","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148733","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","27-Jun-2025","ASSISTANT ENGINEER BAGAHA LEGISLATIVE","Payment Success","597473"
"639","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148739","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","16-Jun-2025","ASSISTANT ENGINEER SIKTA","Payment Success","592470"
"640","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/148740","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","22-Feb-2025","ASSISTANT ENGINEER MPLADS RAMNAGAR","Payment Success","598942"
"641","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150004","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","18-Mar-2025","MARKANDEY KUMAR","Payment Success","1489103"
"642","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150005","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","13-Mar-2025","JAI MATA DI EENT UDYOG","Payment Success","1488973"
"643","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150006","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","21-Mar-2025","MARKANDEY KUMAR","Payment Success","1488584"
"644","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150007","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","25-Mar-2025","SUMAN JAISWAL","Payment Success","1484381"
"645","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150008","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","25-Mar-2025","NISHA KUMARI","Payment Success","1484397"
"646","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/150009","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","22-Feb-2025","ASSISTANT ENGONEER BETTIAH","Payment Success","1389901"
