"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"257","Normal/Others","WS/MP846/2024-2025/136890-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o of CC Road from Chilliveri Ramesh (H) to Bandi Gangaram(H) 100 mtrs at Walgonda(v), Mallapur (m).","28-Aug-2024","25-Sep-2024","200000","Physical Inspection"
"258","Normal/Others","WS/MP846/2024-2025/136906-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o CC Roads  from Puppala Gangadhar (H) to Telu Harish (H) at Dabba (v), Ibrahimpatnam (m)","28-Aug-2024","23-Sep-2024","500000","Work Completed"
"259","Normal/Others","WS/MP846/2024-2025/137341-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road form Mittapelli Ganganna (H) to M Rajareddy Kottam at Maithapur (v) MP Raikal, Jagtial Dist.","28-Aug-2024","17-Sep-2024","500000","Physical Inspection"
"260","Normal/Others","WS/MP846/2024-2025/137343-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road form M Rajareddy Kottam to Mandati  at Maithapur (v) MP Raikal, Jagtial Dist.","28-Aug-2024","17-Sep-2024","499860","Physical Inspection"
"261","Normal/Others","WS/MP846/2024-2025/137344-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road form Myadari Laxmi (H) to R&B Road at Maithapur (v) MP Raikal, Jagtial Dist.","28-Aug-2024","17-Sep-2024","500000","Physical Inspection"
"262","Normal/Others","WS/MP18374/2024-2025/138810-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Laying of Internal CC Road from Katteboina Ramalingaiah (H) to Macha Lachaiah (H) in Chillapuram Village of Miryalaguda Mandal.","04-Sep-2024","26-Sep-2024","500000","Physical Inspection"
"263","Normal/Others","WS/MP18374/2024-2025/138811-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Laying of Internal CC Road from Kore Nagamani (H) to Modala Shekar (H) in Chillapuram Village of Miryalaguda Mandal.","04-Sep-2024","26-Sep-2024","499529","Physical Inspection"
"264","Normal/Others","WS/MP18374/2024-2025/138812-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Laying of internal CC Roads in Chillapuram Village of Miryalaguda Mandal.","04-Sep-2024","26-Sep-2024","500000","Physical Inspection"
"265","Normal/Others","WS/MP171/2024-2025/142688-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Nallavelli Narsimha (H) to Jakkali Ganesh (H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","10-Dec-2024","498000","Work Completed"
"266","Normal/Others","WS/MP171/2024-2025/142689-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Main Road to Yerramadha Sujatha (H) to Nakirekanti Anjaiah(H) to G.Sharanappa(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","10-Dec-2024","498000","Work Completed"
"267","Normal/Others","WS/MP171/2024-2025/142690-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Nakirekanti Maramma (H) to Pilli Lachaiah (H),  Kosanam Pichama(H) to Varikuppala Yadaiah(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","10-Dec-2024","498000","Work Completed"
"268","Normal/Others","WS/MP171/2024-2025/142691-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Aluguvelli Sathireddy (H) to Soma Raju (H), Dasari Yadaiah(H) to Gude Lingaiah(H) in Lachammagudem(V) of Narayanapur(M), Yadadri Bhuvanagiri District.","23-Sep-2024","10-Dec-2024","498000","Work Completed"
"269","Normal/Others","WS/MP171/2024-2025/144801-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","C/o CC Road from Siripuram Venkateshwam (H) to Swargam Stahaiah (H)","30-Sep-2024","20-Dec-2024","1000000","Work Completed"
"270","Normal/Others","WS/MP171/2024-2025/144802-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","CC Road  and Culvert from Yellamma Temple to Manairu Vagu Road","30-Sep-2024","20-Dec-2024","1000000","Work Completed"
"271","Normal/Others","WS/MP171/2024-2025/144804-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","C/o CC road near Yadava Comm Hall - Mallanna Temple","30-Sep-2024","20-Dec-2024","800000","Work Completed"
