"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"39","Normal/Others","NA-Purchase of hospital equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","B Braun HDF machine with accessories 2 nos","08-Aug-2026","3444000","NA"
"40","Normal/Others","NA-Purchase of hospital equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Fresenius 4008 S (NG) with accessories 4 Nos","08-Aug-2026","3650332","NA"
"41","Normal/Others","WS/MP139/2024-2025/134087-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","1. 	Mahindra-Bolero Maxx Pik up – 1.3 VX Load carrier without closed container for transportation of medicines by the Government Hospitals in Puducherry 2.	Fabrication work for fixing closed container in the vehicle to carry medicines safely.","24-Jul-2024","3065361","28-Oct-2024"
"42","Normal/Others","WS/MP139/2026-2027/229958-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Mahindra-Bolero Maxx City 1.4 LX BS 6 Load carrier for use in the Bahour Commune Panchayat for public purpose","29-Aug-2025","910000","01-Jul-2026"
"43","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","FORCE MOTORS  Type D Road Ambulance Advanced Life Support Ambulance","14-Jun-2026","2650000","NA"
"44","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","TATA MOTORS Type B  Road Ambulance  Patient Transport vehicle 2 nos","14-Jun-2026","1458138","NA"
"45","Normal/Others","WS/MP139/2023-2024/46074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of Reverse Osmosis drinking water plat for drinking purpose of students studying in the college","06-Nov-2023","200000","18-Dec-2023"
"46","Normal/Others","WS/MP139/2025-2026/229074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of 500 LPH Reverse osmosis based water treatment plant at Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","26-Aug-2025","259600","09-Feb-2026"
"47","Normal/Others","WS/MP139/2025-2026/144707-Purchase of mobile sanitation equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of Excavator cum Backhoe loader machine and accessories.","30-Sep-2024","3990000","29-Jul-2025"
"48","Normal/Others","NA-Providing drains and gutters for public drainage","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of U-Drain with slab in the Pudhu nagar Rettai Vaikkal of Agaram Village in Oussudu Assembly Constituency.","22-Nov-2023","2500000","NA"
