"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"36","Normal/Others","WS/MP139/2024-2025/103177-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing CC road to Raman street and Sundaravinayagar street at Mahatma nagar in Thattanchavady constituency","12-Feb-2024","29-Jul-2024","904645","Physical Inspection"
"37","Normal/Others","WS/MP139/2025-2026/103178-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to 3rd and 4th cross streets at Subbiah nagar in Thattanchavady constituency","12-Feb-2024","29-Jul-2025","1500000","Sanction"
"38","Normal/Others","WS/MP139/2024-2025/103179-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Gangaiamman koil street at Thattanchavady in Thattanchavady constituency","12-Feb-2024","08-Jul-2024","3735665","Physical Inspection"
"39","Normal/Others","WS/MP139/2025-2026/103180-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Saravana Iruppu street, Ponbethy village in Nedungadu Commune Panchayat in Karaikal region","12-Feb-2024","05-Dec-2025","2683495","Work Completed"
"40","Normal/Others","WS/MP139/2026-2027/103181-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Re-metalling and BT road to Kamarajar nagar, Varchikudy in Kottuchery commune Panchayat in Karaikal region","12-Feb-2024","21-Aug-2026","2930185","Physical Inspection"
"41","Normal/Others","WS/MP139/2023-2024/110203-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing WBM & BT road facilities to Balamurugan nagar in Thengaithittu in Ariankuppam Constituency","20-Feb-2024","22-Feb-2024","2168000","Physical Inspection"
"42","Normal/Others","WS/MP139/2024-2025/132402-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Internal streets at Thilagar nagar, Thattanchavady constituency, Puducherry.","11-Jun-2024","12-Jun-2024","3524073","Physical Inspection"
"43","Normal/Others","WS/MP139/2024-2025/132403-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Main roads of Maheswari nagar and Sinthamani nagar in Oulgaret Revenue village in Oulgaret constituency","11-Jun-2024","12-Jun-2024","1361805","Physical Inspection"
"44","Normal/Others","WS/MP139/2024-2025/132404-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the internal streets at Krishna nagar west in Kamaraj nagar constituency","11-Jun-2024","12-Jun-2024","2944058","Physical Inspection"
"45","Normal/Others","WS/MP139/2024-2025/132405-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of compound wall around the existing park area at co-operative nagar, Bahour in Bahour constituency","11-Jun-2024","14-Jun-2024","1000000","Work partially Completed"
"46","Normal/Others","WS/MP139/2024-2025/133777-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Reconstruction of canal at Gandhithirunallur in Indira nagar constituency, Puducherry. (Phase-I).","20-Jul-2024","04-Feb-2025","3000000","Physical Inspection"
"47","Normal/Others","WS/MP139/2025-2026/133778-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing road and drainage facilities to the Roja nagar at Kodathur Manavely village in Mannadipet Constituency.","20-Jul-2024","11-Apr-2025","3000000","Work Completed"
"48","Normal/Others","WS/MP139/2024-2025/134713-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing cement concrete road to the main road of Isravel nagar at Gorimedu in Indira nagar Constituency, Puducherry.","05-Aug-2024","06-Jan-2025","2833040","Physical Inspection"
"49","Normal/Others","WS/MP139/2025-2026/134714-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing cement concrete road to the cross roads of vannidasan street, Seliamedu in Embalam Constituency, Puducherry.","05-Aug-2024","29-Jul-2025","1079000","Vendor Identification"
"50","Normal/Others","WS/MP139/2024-2025/141428-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to road and drainage works in Amaithi nagar, Kurumampet of Oussudu Constituency","17-Sep-2024","13-Dec-2024","2284583","Physical Inspection"
"51","Normal/Others","WS/MP139/2025-2026/141429-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing and laying of CC roads and reconstruction of drains in Brahmandam nagar (Phase II) in Yanam region","17-Sep-2024","11-Dec-2025","5400000","Work Completed"
"52","Normal/Others","WS/MP139/2026-2027/145292-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the existing main road from main gate to canteen junction at Zone-A campus of Rajiv Gandhi Veterinary College, Kurumbapet in Oussudu Assembly Constituency, Puducherry.","03-Oct-2024","14-May-2026","1219000","Physical Inspection"
"53","Normal/Others","WS/MP139/2025-2026/152306-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the internal roads and drainage facilities at Tsunami Hamlet, Karaikalmedu of Karaikal North Constituency.","13-Nov-2024","07-Apr-2025","10000000","Sanction"
"54","Normal/Others","WS/MP139/2025-2026/152311-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Upgradation and widening of branch road of Pillaiyarkuppam – Narambai link road – Phase -I in Bahour Assembly Constituency.","13-Nov-2024","22-Aug-2025","3000000","Sanction"
"55","Normal/Others","WS/MP139/2026-2027/190730-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Forming and providing WBM Grade I to the main and internal streets of Lakshmi Narasimmar nagar near Gopalankadai in Oulgaret Constituency","12-Apr-2025","14-May-2026","3500000","Physical Inspection"
"56","Normal/Others","WS/MP139/2026-2027/190733-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing road facilities to internal streets of Annamalaiyar Nagar in Lawspet Constituency","12-Apr-2025","28-Aug-2026","2100000","Sanction"
"57","Normal/Others","WS/MP139/2026-2027/197314-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing cement concrete road to the approach of burial ground and construction of bath rooms, additional facilities to existing Karumathi shed at Shanthi Nagar in lawspet constituency, Puducherry.","07-May-2025","28-Aug-2026","2000000","Sanction"
"58","Normal/Others","WS/MP139/2026-2027/237895-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the road at second cross street in Thuyathambi nagar, Reddiyarpalayam in Oulgaret Constituency","26-Sep-2025","13-Jun-2026","500000","Physical Inspection"
"59","Normal/Others","WS/MP139/2026-2027/292109-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Throwpathy amman koil street at Vizhidhiyur Village in Neravy Commune Panchayat Karaikal","04-Jul-2026","23-Jul-2026","810000","Work partially Completed"
"60","Normal/Others","WS/MP139/2023-2024/46813-Improvement of electricity distribution infrastructure","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Conversion of LT over head lines into LT underground cable for permanent removal of road crossing LT lines and consumer service connections from Throwbathi amman koil street to temple car starting point to end point.","07-Nov-2023","17-Feb-2024","5000000","Work partially Completed"
"61","Normal/Others","WS/MP139/2023-2024/96922-Street lights","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Supply of LED lights to the streets of  all constituencies in Puducherry","05-Feb-2024","05-Feb-2024","4278090","Physical Inspection"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","18,33,03,711"
