"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"42","Normal/Others","WS/MP233/2025-2026/230257-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Water Reservoir tank is very important for the colony where there are more than 100 house hold. Therefore, construction of water tank size of 50x50 reservoir in the ward is a need of the hour, where the peoples depend on it.","29-Aug-2025","1000000","01-Dec-2025"
"43","Normal/Others","WS/MP233/2025-2026/231940-Construction of common work sheds/ common covered sitting area","Nagaland","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Marketing Shed at Nsunyu Village is a very need of the hours for the people of Tseminyu district , as being a fast growing semi-urban Town, requires essential infrastructure to support sustainable livelihood and ensure the welfare of its resident and travellers. this initiative will not only uplift the scio-economic of the people but also set a model for rural development in the region.","06-Sep-2025","1000000","13-Oct-2025"
"44","Normal/Others","WS/MP233/2025-2026/239054- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Organising Sansad Khel Mahotsav under PM Modi in the 17 district of Nagaland at Village level to district level. which will uplift the sport talent across the State to participate in the national and International level as well.","29-Sep-2025","5304000","21-Oct-2025"
"45","Normal/Others","WS/MP233/2025-2026/239079-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of proper footpath,  at Tanlao ward, Mon Town will benefit over 300 house hold living in the area and its adjacent Douglas colony for better accessibility and connection to the rest of the town.","29-Sep-2025","1000000","27-Oct-2025"
"46","Normal/Others","WS/MP233/2025-2026/239108-Construction of boundary walls of existing public and community buildings","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The Construction of boundary wall of existing community building at Luyong, Molungyimsen which will served as a protection to the public property and as a boundary to avoid land encroachment.","29-Sep-2025","3000000","15-Dec-2025"
"47","Normal/Others","WS/MP233/2025-2026/246829-Construction of buildings for sports facilities","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Shangnyu Village is approximately 18 kilometers from district headquarter Mon, Nagaland and it has a population of around 1850. As describe and witness the village are lack of development which include sports infrastructure, therefore as demanded by the village head and youth leaders, the village will be provided with the construction of Concrete Pavilion at the village local ground which will be very helpful for the community in sports and for various gathering.","07-Nov-2025","1500000","09-Dec-2025"
"48","Normal/Others","WS/MP233/2025-2026/248292-Purchase of vehicles for mobile libraries","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Mobile Libraries for Mon District in order to upliftment and development of Konyak dialect.","14-Nov-2025","1000000","17-Jan-2026"
"49","Normal/Others","WS/MP233/2025-2026/248293-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Tree and crops plantation on a degraded mining land.","14-Nov-2025","1000000","06-Feb-2026"
"50","Normal/Others","WS/MP233/2025-2026/249134-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The construction of this CRSM drain will greatly benefit the locality as it serves as the primary outlet for stormwater and wastewater from the main bazaar, improving drainage and reducing flooding risks.","18-Nov-2025","1040000","09-Dec-2025"
"51","Normal/Others","WS/MP233/2025-2026/249141-Construction of common work sheds/ common covered sitting area","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of work sheds for the public under Tanlao ward, Mon Town is much need of the hour for the benefits to lots of carpenters, it can be utilized as a work place as well as for the safe storage and more over for the unemployed youth as an institution to learn carpentry on the local level","18-Nov-2025","300000","09-Dec-2025"
"52","Normal/Others","WS/MP233/2025-2026/249157-Development of playfields and sports grounds","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Expansion of existing volleyball court into a full football ground in which the community can use for any kind of event such as sports and cultural programme.","18-Nov-2025","400000","09-Dec-2025"
"53","Normal/Others","WS/MP233/2025-2026/249159-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of a Footsteps pathway measuring approximately 220 to 250 meters in length. The proposed pathway will connect the Circular Road near SIB office, located adjacent to the Assam Rifle Camp, to the Old Government Quarters of the Agriculture Department. The work includes. Site clearing and levelling, Construction of concrete footsteps steps along the identified gradient. Installation of side drainage necessary. Providing proper finishing for safe pedestrian movement.","18-Nov-2025","600000","09-Dec-2025"
"54","Normal/Others","WS/MP233/2025-2026/249163-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Shantham ward located in Mon Town, Mon District with the population of around 1800, the construction of Drainage cum Footsteps 300 meter length in order to control float from rain water and wastewater as well as for the convenient shortcut footsteps  from ADC road to Govt. Higher Secondary School, Mon Town -C, which will be much help and convenient for the students","18-Nov-2025","1000000","09-Dec-2025"
"55","Normal/Others","WS/MP233/2025-2026/250935- Providing sports equipment, except consumable items","Nagaland","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","The Chakhroma Wrestling Meet is one of the most prominent traditional sporting events in Chumukedima Village under Chumukedima District. it brings all the athletes, youth together and spectator from across Nagaland. the upcoming edition holds special significance as it aims to promote Indigenous Naga Wrestling and also highlight traditional belt, which is global recognition. therefore, under MPLADS the Wrestling Mat will be provided to uplift and push the athletic for the Asian Games.","27-Nov-2025","400000","17-Jan-2026"
